Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 22 Aug 2015 (33),SS Lazio (1),2-1,2-1,Bologna FC (1)
?,(Sat) 22 Aug 2015 (33),Hellas Verona FC (1),1-1,0-0,AS Roma (1)
?,(Sun) 23 Aug 2015 (33),Empoli (1),1-3,1-0,AC Chievo Verona (1)
?,(Sun) 23 Aug 2015 (33),ACF Fiorentina (1),2-0,1-0,AC Milan (1)
?,(Sun) 23 Aug 2015 (33),Frosinone (1),1-2,1-0,Torino FC (1)
?,(Sun) 23 Aug 2015 (33),FC Internazionale Milano (1),1-0,0-0,Atalanta BC (1)
?,(Sun) 23 Aug 2015 (33),Juventus (1),0-1,0-0,Udinese Calcio (1)
?,(Sun) 23 Aug 2015 (33),Palermo (1),1-0,0-0,Genoa CFC (1)
?,(Sun) 23 Aug 2015 (33),UC Sampdoria (1),5-2,5-1,Carpi (1)
?,(Sun) 23 Aug 2015 (33),US Sassuolo Calcio (1),2-1,1-1,SSC Napoli (1)
?,(Sat) 29 Aug 2015 (34),Bologna FC (2),0-1,0-0,US Sassuolo Calcio (2)
?,(Sat) 29 Aug 2015 (34),AC Milan (2),2-1,1-1,Empoli (2)
?,(Sun) 30 Aug 2015 (34),Atalanta BC (2),2-0,1-0,Frosinone (2)
?,(Sun) 30 Aug 2015 (34),Carpi (2),1-2,0-1,FC Internazionale Milano (2)
?,(Sun) 30 Aug 2015 (34),AC Chievo Verona (2),4-0,3-0,SS Lazio (2)
?,(Sun) 30 Aug 2015 (34),Genoa CFC (2),2-0,0-0,Hellas Verona FC (2)
?,(Sun) 30 Aug 2015 (34),SSC Napoli (2),2-2,2-0,UC Sampdoria (2)
?,(Sun) 30 Aug 2015 (34),AS Roma (2),2-1,0-0,Juventus (2)
?,(Sun) 30 Aug 2015 (34),Torino FC (2),3-1,0-1,ACF Fiorentina (2)
?,(Sun) 30 Aug 2015 (34),Udinese Calcio (2),0-1,0-1,Palermo (2)
?,(Sat) 12 Sep 2015 (36),ACF Fiorentina (3),1-0,0-0,Genoa CFC (3)
?,(Sat) 12 Sep 2015 (36),Frosinone (3),0-2,0-1,AS Roma (3)
?,(Sat) 12 Sep 2015 (36),Juventus (3),1-1,0-1,AC Chievo Verona (3)
?,(Sun) 13 Sep 2015 (36),Empoli (3),2-2,2-1,SSC Napoli (3)
?,(Sun) 13 Sep 2015 (36),FC Internazionale Milano (3),1-0,0-0,AC Milan (3)
?,(Sun) 13 Sep 2015 (36),SS Lazio (3),2-0,0-0,Udinese Calcio (3)
?,(Sun) 13 Sep 2015 (36),Palermo (3),2-2,1-1,Carpi (3)
?,(Sun) 13 Sep 2015 (36),US Sassuolo Calcio (3),2-2,2-2,Atalanta BC (3)
?,(Sun) 13 Sep 2015 (36),Hellas Verona FC (3),2-2,0-0,Torino FC (3)
?,(Mon) 14 Sep 2015 (37),UC Sampdoria (3),2-0,0-0,Bologna FC (3)
?,(Sat) 19 Sep 2015 (37),AC Milan (4),3-2,2-1,Palermo (4)
?,(Sat) 19 Sep 2015 (37),Udinese Calcio (4),1-2,1-0,Empoli (4)
?,(Sun) 20 Sep 2015 (37),Atalanta BC (4),1-1,0-0,Hellas Verona FC (4)
?,(Sun) 20 Sep 2015 (37),Bologna FC (4),1-0,1-0,Frosinone (4)
?,(Sun) 20 Sep 2015 (37),Carpi (4),0-1,0-1,ACF Fiorentina (4)
?,(Sun) 20 Sep 2015 (37),AC Chievo Verona (4),0-1,0-1,FC Internazionale Milano (4)
?,(Sun) 20 Sep 2015 (37),Genoa CFC (4),0-2,0-1,Juventus (4)
?,(Sun) 20 Sep 2015 (37),SSC Napoli (4),5-0,2-0,SS Lazio (4)
?,(Sun) 20 Sep 2015 (37),AS Roma (4),2-2,1-2,US Sassuolo Calcio (4)
?,(Sun) 20 Sep 2015 (37),Torino FC (4),2-0,2-0,UC Sampdoria (4)
?,(Tue) 22 Sep 2015 (38),Udinese Calcio (5),2-3,0-3,AC Milan (5)
?,(Wed) 23 Sep 2015 (38),Carpi (5),0-0,0-0,SSC Napoli (5)
?,(Wed) 23 Sep 2015 (38),AC Chievo Verona (5),1-0,0-0,Torino FC (5)
?,(Wed) 23 Sep 2015 (38),ACF Fiorentina (5),2-0,0-0,Bologna FC (5)
?,(Wed) 23 Sep 2015 (38),FC Internazionale Milano (5),1-0,0-0,Hellas Verona FC (5)
?,(Wed) 23 Sep 2015 (38),Juventus (5),1-1,0-0,Frosinone (5)
?,(Wed) 23 Sep 2015 (38),SS Lazio (5),2-0,1-0,Genoa CFC (5)
?,(Wed) 23 Sep 2015 (38),Palermo (5),0-1,0-1,US Sassuolo Calcio (5)
?,(Wed) 23 Sep 2015 (38),UC Sampdoria (5),2-1,0-0,AS Roma (5)
?,(Thu) 24 Sep 2015 (38),Empoli (5),0-1,0-1,Atalanta BC (5)
?,(Sat) 26 Sep 2015 (38),SSC Napoli (6),2-1,1-0,Juventus (6)
?,(Sat) 26 Sep 2015 (38),AS Roma (6),5-1,3-1,Carpi (6)
?,(Sun) 27 Sep 2015 (38),Bologna FC (6),1-2,1-0,Udinese Calcio (6)
?,(Sun) 27 Sep 2015 (38),Genoa CFC (6),1-0,1-0,AC Milan (6)
?,(Sun) 27 Sep 2015 (38),FC Internazionale Milano (6),1-4,0-3,ACF Fiorentina (6)
?,(Sun) 27 Sep 2015 (38),US Sassuolo Calcio (6),1-1,1-1,AC Chievo Verona (6)
?,(Sun) 27 Sep 2015 (38),Torino FC (6),2-1,1-0,Palermo (6)
?,(Sun) 27 Sep 2015 (38),Hellas Verona FC (6),1-2,1-0,SS Lazio (6)
?,(Mon) 28 Sep 2015 (39),Atalanta BC (6),2-1,1-0,UC Sampdoria (6)
?,(Mon) 28 Sep 2015 (39),Frosinone (6),2-0,0-0,Empoli (6)
?,(Sat) 3 Oct 2015 (39),Carpi (7),2-1,0-0,Torino FC (7)
?,(Sat) 3 Oct 2015 (39),AC Chievo Verona (7),1-1,0-0,Hellas Verona FC (7)
?,(Sun) 4 Oct 2015 (39),Empoli (7),1-0,0-0,US Sassuolo Calcio (7)
?,(Sun) 4 Oct 2015 (39),ACF Fiorentina (7),3-0,2-0,Atalanta BC (7)
?,(Sun) 4 Oct 2015 (39),Juventus (7),3-1,1-1,Bologna FC (7)
?,(Sun) 4 Oct 2015 (39),SS Lazio (7),2-0,0-0,Frosinone (7)
?,(Sun) 4 Oct 2015 (39),AC Milan (7),0-4,0-1,SSC Napoli (7)
?,(Sun) 4 Oct 2015 (39),Palermo (7),2-4,0-3,AS Roma (7)
?,(Sun) 4 Oct 2015 (39),UC Sampdoria (7),1-1,0-0,FC Internazionale Milano (7)
?,(Sun) 4 Oct 2015 (39),Udinese Calcio (7),1-1,0-0,Genoa CFC (7)
?,(Sat) 17 Oct 2015 (41),AS Roma (8),3-1,0-0,Empoli (8)
?,(Sat) 17 Oct 2015 (41),Torino FC (8),1-1,0-0,AC Milan (8)
?,(Sun) 18 Oct 2015 (41),Atalanta BC (8),3-0,2-0,Carpi (8)
?,(Sun) 18 Oct 2015 (41),Bologna FC (8),0-1,0-1,Palermo (8)
?,(Sun) 18 Oct 2015 (41),Frosinone (8),2-0,0-0,UC Sampdoria (8)
?,(Sun) 18 Oct 2015 (41),Genoa CFC (8),3-2,2-1,AC Chievo Verona (8)
?,(Sun) 18 Oct 2015 (41),FC Internazionale Milano (8),0-0,0-0,Juventus (8)
?,(Sun) 18 Oct 2015 (41),SSC Napoli (8),2-1,0-0,ACF Fiorentina (8)
?,(Sun) 18 Oct 2015 (41),US Sassuolo Calcio (8),2-1,1-0,SS Lazio (8)
?,(Sun) 18 Oct 2015 (41),Hellas Verona FC (8),1-1,1-0,Udinese Calcio (8)
?,(Sat) 24 Oct 2015 (42),Carpi (9),1-2,1-0,Bologna FC (9)
?,(Sat) 24 Oct 2015 (42),Empoli (9),2-0,1-0,Genoa CFC (9)
?,(Sat) 24 Oct 2015 (42),Palermo (9),1-1,0-0,FC Internazionale Milano (9)
?,(Sun) 25 Oct 2015 (42),AC Chievo Verona (9),0-1,0-0,SSC Napoli (9)
?,(Sun) 25 Oct 2015 (42),ACF Fiorentina (9),1-2,0-2,AS Roma (9)
?,(Sun) 25 Oct 2015 (42),Juventus (9),2-0,1-0,Atalanta BC (9)
?,(Sun) 25 Oct 2015 (42),SS Lazio (9),3-0,1-0,Torino FC (9)
?,(Sun) 25 Oct 2015 (42),AC Milan (9),2-1,1-0,US Sassuolo Calcio (9)
?,(Sun) 25 Oct 2015 (42),UC Sampdoria (9),4-1,3-0,Hellas Verona FC (9)
?,(Sun) 25 Oct 2015 (42),Udinese Calcio (9),1-0,1-0,Frosinone (9)
?,(Tue) 27 Oct 2015 (43),Bologna FC (10),0-1,0-0,FC Internazionale Milano (10)
?,(Wed) 28 Oct 2015 (43),Atalanta BC (10),2-1,0-1,SS Lazio (10)
?,(Wed) 28 Oct 2015 (43),Frosinone (10),2-1,0-0,Carpi (10)
?,(Wed) 28 Oct 2015 (43),AC Milan (10),1-0,0-0,AC Chievo Verona (10)
?,(Wed) 28 Oct 2015 (43),SSC Napoli (10),2-0,1-0,Palermo (10)
?,(Wed) 28 Oct 2015 (43),AS Roma (10),3-1,2-0,Udinese Calcio (10)
?,(Wed) 28 Oct 2015 (43),US Sassuolo Calcio (10),1-0,1-0,Juventus (10)
?,(Wed) 28 Oct 2015 (43),Torino FC (10),3-3,2-1,Genoa CFC (10)
?,(Wed) 28 Oct 2015 (43),Hellas Verona FC (10),0-2,0-1,ACF Fiorentina (10)
?,(Thu) 29 Oct 2015 (43),UC Sampdoria (10),1-1,0-0,Empoli (10)
?,(Sat) 31 Oct 2015 (43),FC Internazionale Milano (11),1-0,1-0,AS Roma (11)
?,(Sat) 31 Oct 2015 (43),Juventus (11),2-1,1-0,Torino FC (11)
?,(Sun) 1 Nov 2015 (43),Bologna FC (11),3-0,0-0,Atalanta BC (11)
?,(Sun) 1 Nov 2015 (43),Carpi (11),0-0,0-0,Hellas Verona FC (11)
?,(Sun) 1 Nov 2015 (43),ACF Fiorentina (11),4-1,4-0,Frosinone (11)
?,(Sun) 1 Nov 2015 (43),Genoa CFC (11),0-0,0-0,SSC Napoli (11)
?,(Sun) 1 Nov 2015 (43),SS Lazio (11),1-3,0-1,AC Milan (11)
?,(Sun) 1 Nov 2015 (43),Udinese Calcio (11),0-0,0-0,US Sassuolo Calcio (11)
?,(Mon) 2 Nov 2015 (44),AC Chievo Verona (11),1-1,1-1,UC Sampdoria (11)
?,(Mon) 2 Nov 2015 (44),Palermo (11),0-1,0-0,Empoli (11)
?,(Sat) 7 Nov 2015 (44),AC Milan (12),0-0,0-0,Atalanta BC (12)
?,(Sat) 7 Nov 2015 (44),Hellas Verona FC (12),0-2,0-2,Bologna FC (12)
?,(Sun) 8 Nov 2015 (44),Empoli (12),1-3,1-2,Juventus (12)
?,(Sun) 8 Nov 2015 (44),Frosinone (12),2-2,2-1,Genoa CFC (12)
?,(Sun) 8 Nov 2015 (44),SSC Napoli (12),1-0,0-0,Udinese Calcio (12)
?,(Sun) 8 Nov 2015 (44),Palermo (12),1-0,0-0,AC Chievo Verona (12)
?,(Sun) 8 Nov 2015 (44),AS Roma (12),2-0,1-0,SS Lazio (12)
