Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 5 Sep 2015 (35),Cesena (1),2-0,2-0,Brescia (1)
?,(Sun) 6 Sep 2015 (35),Bari (1),4-3,2-2,Spezia (1)
?,(Sun) 6 Sep 2015 (35),AS Livorno Calcio (1),4-0,3-0,Pescara (1)
?,(Sun) 6 Sep 2015 (35),Modena FC (1),0-1,0-0,LR Vicenza Virtus (1)
?,(Sun) 6 Sep 2015 (35),Novara (1),1-1,1-0,SSD Latina Calcio (1)
?,(Sun) 6 Sep 2015 (35),Perugia (1),2-0,1-0,Como 1907 (1)
?,(Sun) 6 Sep 2015 (35),Pro Vercelli (1),2-1,1-0,Virtus Lanciano (1)
?,(Sun) 6 Sep 2015 (35),Salernitana (1),3-1,1-1,Avellino (1)
?,(Sun) 6 Sep 2015 (35),Trapani Calcio (1),3-0,1-0,Ternana (1)
?,(Mon) 7 Sep 2015 (36),Cagliari Calcio (1),4-0,1-0,FC Crotone (1)
?,(Fri) 11 Sep 2015 (36),Pescara (2),2-1,1-0,Perugia (2)
?,(Sat) 12 Sep 2015 (36),Avellino (2),2-0,0-0,Modena FC (2)
?,(Sat) 12 Sep 2015 (36),Brescia (2),2-2,0-1,Salernitana (2)
?,(Sat) 12 Sep 2015 (36),Como 1907 (2),1-2,1-1,AS Livorno Calcio (2)
?,(Sat) 12 Sep 2015 (36),FC Crotone (2),2-1,0-1,Novara (2)
?,(Sat) 12 Sep 2015 (36),Ternana (2),1-1,0-1,Cagliari Calcio (2)
?,(Sat) 12 Sep 2015 (36),LR Vicenza Virtus (2),0-0,0-0,Bari (2)
?,(Sat) 12 Sep 2015 (36),Virtus Entella (1),2-1,1-1,Cesena (2)
?,(Sat) 12 Sep 2015 (36),Virtus Lanciano (2),2-0,1-0,Ascoli (1)
?,(Sun) 13 Sep 2015 (36),Spezia (2),1-1,1-1,Pro Vercelli (2)
?,(Mon) 14 Sep 2015 (37),SSD Latina Calcio (2),1-1,0-0,Trapani Calcio (2)
?,(Tue) 15 Sep 2015 (37),Ascoli (2),1-0,1-0,Virtus Entella (2)
?,(Fri) 18 Sep 2015 (37),AS Livorno Calcio (3),3-1,1-1,Brescia (3)
?,(Fri) 18 Sep 2015 (37),Modena FC (3),1-0,0-0,Ternana (3)
?,(Sat) 19 Sep 2015 (37),Ascoli (3),1-3,0-0,Cesena (3)
?,(Sat) 19 Sep 2015 (37),Bari (3),0-0,0-0,Pescara (3)
?,(Sat) 19 Sep 2015 (37),Cagliari Calcio (3),2-1,1-0,Avellino (3)
?,(Sat) 19 Sep 2015 (37),Novara (3),1-0,0-0,Virtus Entella (3)
?,(Sat) 19 Sep 2015 (37),Perugia (3),0-0,0-0,FC Crotone (3)
?,(Sat) 19 Sep 2015 (37),Pro Vercelli (3),1-1,0-1,SSD Latina Calcio (3)
?,(Sat) 19 Sep 2015 (37),Salernitana (3),0-2,0-1,Spezia (3)
?,(Sat) 19 Sep 2015 (37),Trapani Calcio (3),1-1,1-0,Virtus Lanciano (3)
?,(Sat) 19 Sep 2015 (37),LR Vicenza Virtus (3),3-3,2-2,Como 1907 (3)
?,(Mon) 21 Sep 2015 (38),Ternana (4),2-3,2-1,AS Livorno Calcio (4)
?,(Tue) 22 Sep 2015 (38),Avellino (4),0-0,0-0,Novara (4)
?,(Tue) 22 Sep 2015 (38),Brescia (4),2-0,1-0,Pro Vercelli (4)
?,(Tue) 22 Sep 2015 (38),Cesena (4),2-0,1-0,Modena FC (4)
?,(Tue) 22 Sep 2015 (38),Como 1907 (4),0-0,0-0,Trapani Calcio (4)
?,(Tue) 22 Sep 2015 (38),FC Crotone (4),4-1,2-1,Bari (4)
?,(Tue) 22 Sep 2015 (38),SSD Latina Calcio (4),1-0,1-0,Ascoli (4)
?,(Tue) 22 Sep 2015 (38),Pescara (4),1-1,1-0,Salernitana (4)
?,(Tue) 22 Sep 2015 (38),Spezia (4),1-0,1-0,Perugia (4)
?,(Tue) 22 Sep 2015 (38),Virtus Entella (4),1-3,1-1,Cagliari Calcio (4)
?,(Tue) 22 Sep 2015 (38),Virtus Lanciano (4),0-0,0-0,LR Vicenza Virtus (4)
?,(Sat) 26 Sep 2015 (38),Ascoli (5),0-0,0-0,Brescia (5)
?,(Sat) 26 Sep 2015 (38),Cagliari Calcio (5),3-2,2-1,SSD Latina Calcio (5)
?,(Sat) 26 Sep 2015 (38),AS Livorno Calcio (5),1-2,0-1,Spezia (5)
?,(Sat) 26 Sep 2015 (38),Modena FC (5),1-0,0-0,Virtus Lanciano (5)
?,(Sat) 26 Sep 2015 (38),Perugia (5),0-0,0-0,Cesena (5)
?,(Sat) 26 Sep 2015 (38),Pro Vercelli (5),0-2,0-1,FC Crotone (5)
?,(Sat) 26 Sep 2015 (38),Salernitana (5),2-1,0-0,Ternana (5)
?,(Sat) 26 Sep 2015 (38),Trapani Calcio (5),4-2,2-1,Virtus Entella (5)
?,(Sat) 26 Sep 2015 (38),LR Vicenza Virtus (5),2-2,0-0,Pescara (5)
?,(Sun) 27 Sep 2015 (38),Bari (5),2-1,1-1,Avellino (5)
?,(Mon) 28 Sep 2015 (39),Novara (5),0-2,0-0,Como 1907 (5)
?,(Fri) 2 Oct 2015 (39),FC Crotone (6),4-0,2-0,Salernitana (6)
?,(Sat) 3 Oct 2015 (39),Avellino (6),1-4,1-3,LR Vicenza Virtus (6)
?,(Sat) 3 Oct 2015 (39),Brescia (6),2-2,2-1,Modena FC (6)
?,(Sat) 3 Oct 2015 (39),Cesena (6),1-0,0-0,AS Livorno Calcio (6)
?,(Sat) 3 Oct 2015 (39),Como 1907 (6),0-4,0-2,Ascoli (6)
?,(Sat) 3 Oct 2015 (39),SSD Latina Calcio (6),1-2,1-0,Bari (6)
?,(Sat) 3 Oct 2015 (39),Pescara (6),1-0,0-0,Cagliari Calcio (6)
?,(Sat) 3 Oct 2015 (39),Ternana (6),2-0,0-0,Novara (6)
?,(Sat) 3 Oct 2015 (39),Virtus Entella (6),1-0,1-0,Pro Vercelli (6)
?,(Sat) 3 Oct 2015 (39),Virtus Lanciano (6),0-0,0-0,Spezia (6)
?,(Mon) 5 Oct 2015 (40),Trapani Calcio (6),0-0,0-0,Perugia (6)
?,(Sat) 10 Oct 2015 (40),Pro Vercelli (7),0-1,0-1,Novara (7)
?,(Sat) 10 Oct 2015 (40),LR Vicenza Virtus (7),0-0,0-0,FC Crotone (7)
?,(Sun) 11 Oct 2015 (40),Ascoli (7),3-1,0-0,Pescara (7)
?,(Sun) 11 Oct 2015 (40),Bari (7),1-0,1-0,Virtus Lanciano (7)
?,(Sun) 11 Oct 2015 (40),Cagliari Calcio (7),3-1,1-0,Cesena (7)
?,(Sun) 11 Oct 2015 (40),Como 1907 (7),1-3,1-2,Brescia (7)
?,(Sun) 11 Oct 2015 (40),AS Livorno Calcio (7),1-1,0-1,Avellino (7)
?,(Sun) 11 Oct 2015 (40),Modena FC (7),0-2,0-0,SSD Latina Calcio (7)
?,(Sun) 11 Oct 2015 (40),Perugia (7),0-0,0-0,Virtus Entella (7)
?,(Sun) 11 Oct 2015 (40),Salernitana (7),0-1,0-1,Trapani Calcio (7)
?,(Sun) 11 Oct 2015 (40),Spezia (7),1-0,1-0,Ternana (7)
?,(Fri) 16 Oct 2015 (41),Avellino (8),3-3,1-1,Brescia (8)
?,(Sat) 17 Oct 2015 (41),FC Crotone (8),3-0,1-0,AS Livorno Calcio (8)
?,(Sat) 17 Oct 2015 (41),Modena FC (8),2-1,0-0,Ascoli (8)
?,(Sat) 17 Oct 2015 (41),Novara (8),1-0,1-0,Cagliari Calcio (8)
?,(Sat) 17 Oct 2015 (41),Pro Vercelli (8),2-1,2-0,LR Vicenza Virtus (8)
?,(Sat) 17 Oct 2015 (41),Ternana (8),3-0,3-0,Bari (8)
?,(Sat) 17 Oct 2015 (41),Trapani Calcio (8),0-3,0-2,Pescara (8)
?,(Sat) 17 Oct 2015 (41),Virtus Entella (8),1-0,1-0,Salernitana (8)
?,(Sat) 17 Oct 2015 (41),Virtus Lanciano (8),1-0,0-0,Como 1907 (8)
?,(Sun) 18 Oct 2015 (41),SSD Latina Calcio (8),2-1,2-1,Perugia (8)
?,(Mon) 19 Oct 2015 (42),Cesena (8),5-1,1-1,Spezia (8)
?,(Fri) 23 Oct 2015 (42),Pescara (9),1-0,0-0,Pro Vercelli (9)
