Date,Team 1,Team 2,FT,HT
2007-08-25,Albinoleffe,Spezia,3-2,1-2
2007-08-25,Ascoli,Piacenza,4-1,3-0
2007-08-25,Bari,Pisa,1-2,0-0
2007-08-25,Bologna,Rimini,0-0,0-0
2007-08-25,Brescia,Vicenza,2-0,1-0
2007-08-25,Cesena,Chievo,1-1,1-0
2007-08-25,Frosinone,Lecce,1-2,0-2
2007-08-25,Mantova,Ravenna,1-1,0-0
2007-08-25,Modena,Grosseto,3-0,0-0
2007-08-25,Treviso,Avellino,1-0,0-0
2007-08-25,Triestina,Messina,1-1,0-0
2007-08-31,Grosseto,Brescia,0-1,0-0
2007-09-01,Avellino,Mantova,0-1,0-0
2007-09-01,Chievo,Triestina,3-0,3-0
2007-09-01,Lecce,Treviso,1-0,1-0
2007-09-01,Messina,Cesena,1-0,1-0
2007-09-01,Piacenza,Modena,1-2,1-0
2007-09-01,Pisa,Frosinone,0-1,0-0
2007-09-01,Ravenna,Ascoli,2-1,0-0
2007-09-01,Rimini,Bari,2-1,1-1
2007-09-01,Vicenza,Albinoleffe,1-1,1-0
2007-09-03,Spezia,Bologna,0-2,0-1
2007-09-09,Ascoli,Rimini,0-0,0-0
2007-09-09,Albinoleffe,Grosseto,2-1,1-0
2007-09-09,Bari,Vicenza,2-0,2-0
2007-09-09,Bologna,Ravenna,2-1,0-1
2007-09-09,Cesena,Pisa,1-2,1-1
2007-09-09,Frosinone,Avellino,2-1,1-1
2007-09-09,Mantova,Messina,4-0,1-0
2007-09-09,Modena,Spezia,2-2,0-2
2007-09-09,Treviso,Chievo,0-1,0-1
2007-09-09,Triestina,Lecce,1-1,0-1
2007-09-15,Avellino,Bologna,1-0,1-0
2007-09-15,Chievo,Modena,0-0,0-0
2007-09-15,Grosseto,Cesena,0-0,0-0
2007-09-15,Lecce,Ascoli,0-0,0-0
2007-09-15,Messina,Frosinone,0-0,0-0
2007-09-15,Piacenza,Bari,1-0,0-0
2007-09-15,Pisa,Brescia,0-3,0-1
2007-09-15,Ravenna,Albinoleffe,0-2,0-0
2007-09-15,Rimini,Treviso,2-1,1-1
2007-09-15,Spezia,Triestina,0-1,0-0
2007-09-15,Vicenza,Mantova,0-0,0-0
2007-09-18,Brescia,Piacenza,2-0,1-0
2007-09-22,Ascoli,Spezia,1-0,1-0
2007-09-22,Avellino,Lecce,0-2,0-1
2007-09-22,Bari,Ravenna,4-2,2-1
2007-09-22,Brescia,Messina,3-1,2-0
2007-09-22,Cesena,Vicenza,3-3,2-1
2007-09-22,Frosinone,Chievo,1-2,1-1
2007-09-22,Grosseto,Rimini,2-1,0-1
2007-09-22,Mantova,Pisa,0-1,0-1
2007-09-22,Modena,Albinoleffe,2-3,0-1
2007-09-22,Treviso,Piacenza,1-0,0-0
2007-09-22,Triestina,Bologna,1-3,0-1
2007-09-25,Albinoleffe,Cesena,1-0,0-0
2007-09-25,Bari,Mantova,2-0,1-0
2007-09-25,Bologna,Brescia,2-2,0-1
2007-09-25,Chievo,Avellino,3-0,0-0
2007-09-25,Messina,Treviso,2-0,1-0
2007-09-25,Piacenza,Lecce,0-1,0-0
2007-09-25,Pisa,Triestina,2-1,1-0
2007-09-25,Ravenna,Grosseto,2-1,1-1
2007-09-25,Rimini,Modena,1-0,0-0
2007-09-25,Spezia,Frosinone,3-0,2-0
2007-09-25,Vicenza,Ascoli,1-1,0-0
2007-09-29,Albinoleffe,Bari,4-1,3-0
2007-09-29,Ascoli,Avellino,3-1,1-1
2007-09-29,Brescia,Ravenna,2-1,1-1
2007-09-29,Cesena,Bologna,0-0,0-0
2007-09-29,Frosinone,Rimini,3-2,1-1
2007-09-29,Grosseto,Vicenza,2-1,0-0
2007-09-29,Lecce,Chievo,3-0,1-0
2007-09-29,Modena,Messina,1-0,1-0
2007-09-29,Piacenza,Spezia,1-0,0-0
2007-09-29,Treviso,Pisa,2-3,2-2
2007-09-29,Triestina,Mantova,1-0,1-0
2007-10-06,Avellino,Piacenza,0-1,0-0
2007-10-06,Bari,Grosseto,0-0,0-0
2007-10-06,Bologna,Lecce,1-0,0-0
2007-10-06,Cesena,Brescia,1-1,0-1
2007-10-06,Chievo,Rimini,2-2,2-2
2007-10-06,Mantova,Modena,3-2,1-0
2007-10-06,Messina,Albinoleffe,2-1,0-1
2007-10-06,Pisa,Ascoli,2-1,2-1
2007-10-06,Ravenna,Frosinone,0-2,0-0
