Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 25 Aug 2012 (34),ACF Fiorentina (1),2-1,0-1,Udinese Calcio (1)
?,(Sat) 25 Aug 2012 (34),Juventus (1),2-0,0-0,Parma (1)
?,(Sun) 26 Aug 2012 (34),Atalanta BC (1),0-1,0-1,SS Lazio (1)
?,(Sun) 26 Aug 2012 (34),AC Chievo Verona (1),2-0,0-0,Bologna FC (1)
?,(Sun) 26 Aug 2012 (34),Genoa CFC (1),2-0,0-0,Cagliari Calcio (1)
?,(Sun) 26 Aug 2012 (34),AC Milan (1),0-1,0-0,UC Sampdoria (1)
?,(Sun) 26 Aug 2012 (34),Palermo (1),0-3,0-1,SSC Napoli (1)
?,(Sun) 26 Aug 2012 (34),Pescara (1),0-3,0-2,FC Internazionale Milano (1)
?,(Sun) 26 Aug 2012 (34),AS Roma (1),2-2,0-1,Calcio Catania (1)
?,(Sun) 26 Aug 2012 (34),SS Robur Siena (1),0-0,0-0,Torino FC (1)
?,(Sat) 1 Sep 2012 (35),Bologna FC (2),1-3,1-1,AC Milan (2)
?,(Sat) 1 Sep 2012 (35),Torino FC (2),3-0,1-0,Pescara (2)
?,(Sun) 2 Sep 2012 (35),Cagliari Calcio (2),1-1,0-0,Atalanta BC (2)
?,(Sun) 2 Sep 2012 (35),Calcio Catania (2),3-2,0-1,Genoa CFC (2)
?,(Sun) 2 Sep 2012 (35),FC Internazionale Milano (2),1-3,1-1,AS Roma (2)
?,(Sun) 2 Sep 2012 (35),SS Lazio (2),3-0,1-0,Palermo (2)
?,(Sun) 2 Sep 2012 (35),SSC Napoli (2),2-1,0-0,ACF Fiorentina (2)
?,(Sun) 2 Sep 2012 (35),Parma (2),2-0,1-0,AC Chievo Verona (2)
?,(Sun) 2 Sep 2012 (35),UC Sampdoria (2),2-1,1-0,SS Robur Siena (2)
?,(Sun) 2 Sep 2012 (35),Udinese Calcio (2),1-4,0-2,Juventus (2)
?,(Sat) 15 Sep 2012 (37),AC Milan (3),0-1,0-0,Atalanta BC (3)
?,(Sat) 15 Sep 2012 (37),Palermo (3),1-1,1-0,Cagliari Calcio (3)
?,(Sun) 16 Sep 2012 (37),AC Chievo Verona (3),1-3,0-2,SS Lazio (3)
?,(Sun) 16 Sep 2012 (37),ACF Fiorentina (3),2-0,1-0,Calcio Catania (3)
?,(Sun) 16 Sep 2012 (37),Genoa CFC (3),1-3,1-0,Juventus (3)
?,(Sun) 16 Sep 2012 (37),SSC Napoli (3),3-1,2-1,Parma (3)
?,(Sun) 16 Sep 2012 (37),Pescara (3),2-3,0-1,UC Sampdoria (3)
?,(Sun) 16 Sep 2012 (37),AS Roma (3),2-3,2-0,Bologna FC (3)
?,(Sun) 16 Sep 2012 (37),SS Robur Siena (3),2-2,0-2,Udinese Calcio (3)
?,(Sun) 16 Sep 2012 (37),Torino FC (3),0-2,0-1,FC Internazionale Milano (3)
?,(Sat) 22 Sep 2012 (38),Juventus (4),2-0,0-0,AC Chievo Verona (4)
?,(Sat) 22 Sep 2012 (38),Parma (4),1-1,0-1,ACF Fiorentina (4)
?,(Sun) 23 Sep 2012 (38),Atalanta BC (4),1-0,0-0,Palermo (4)
?,(Sun) 23 Sep 2012 (38),Bologna FC (4),1-1,1-1,Pescara (4)
?,(Sun) 23 Sep 2012 (38),Cagliari Calcio (4),0-3,?,AS Roma (4)
?,(Sun) 23 Sep 2012 (38),Calcio Catania (4),0-0,0-0,SSC Napoli (4)
?,(Sun) 23 Sep 2012 (38),FC Internazionale Milano (4),0-2,0-0,SS Robur Siena (4)
?,(Sun) 23 Sep 2012 (38),SS Lazio (4),0-1,0-0,Genoa CFC (4)
