Date,Team 1,Team 2,FT,HT
2012-08-24,Modena,Verona,1-1,0-1
2012-08-25,Bari,Cittadella,2-1,1-0
2012-08-25,Crotone,Brescia,1-0,0-0
2012-08-25,Empoli,Reggina,1-1,1-0
2012-08-25,Grosseto,Novara,1-1,1-0
2012-08-25,Juve Stabia,Livorno,1-3,1-1
2012-08-25,Padova,Virtus Lanciano,1-1,1-0
2012-08-25,Pro Vercelli,Ternana,1-0,1-0
2012-08-25,Spezia,Vicenza,2-1,1-0
2012-08-25,Varese,Ascoli,2-0,0-0
2012-08-27,Cesena,Sassuolo,0-3,0-1
2012-09-01,Ascoli,Bari,1-3,1-0
2012-09-01,Brescia,Juve Stabia,2-0,0-0
2012-09-01,Cittadella,Grosseto,2-1,2-0
2012-09-01,Novara,Empoli,2-2,1-0
2012-09-01,Reggina,Pro Vercelli,1-0,1-0
2012-09-01,Sassuolo,Crotone,2-1,2-0
2012-09-01,Ternana,Modena,0-1,0-0
2012-09-01,Verona,Spezia,1-1,0-1
2012-09-01,Vicenza,Cesena,3-1,2-1
2012-09-01,Virtus Lanciano,Varese,1-2,0-0
2012-09-03,Livorno,Padova,3-2,2-1
2012-09-08,Modena,Varese,1-2,0-0
2012-09-08,Verona,Reggina,2-0,1-0
2012-09-09,Bari,Ternana,2-0,2-0
2012-09-09,Cesena,Novara,1-4,0-3
2012-09-09,Crotone,Cittadella,3-1,0-1
2012-09-09,Empoli,Sassuolo,0-3,0-3
2012-09-09,Juve Stabia,Vicenza,1-1,1-1
2012-09-09,Padova,Grosseto,1-1,0-1
2012-09-09,Pro Vercelli,Livorno,1-2,0-1
2012-09-09,Spezia,Brescia,3-1,1-1
2012-09-09,Virtus Lanciano,Ascoli,1-1,1-0
2012-09-14,Brescia,Padova,0-0,0-0
2012-09-15,Ascoli,Spezia,2-0,0-0
2012-09-15,Cittadella,Virtus Lanciano,1-0,0-0
2012-09-15,Grosseto,Crotone,1-0,1-0
2012-09-15,Livorno,Empoli,4-2,1-0
2012-09-15,Novara,Juve Stabia,1-1,1-1
2012-09-15,Reggina,Modena,2-2,1-1
2012-09-15,Sassuolo,Pro Vercelli,2-1,1-0
2012-09-15,Ternana,Cesena,0-0,0-0
2012-09-15,Vicenza,Verona,2-3,1-2
2012-09-17,Varese,Bari,2-2,0-0
2012-09-21,Empoli,Ternana,0-2,0-1
2012-09-21,Verona,Novara,1-1,1-0
2012-09-22,Cesena,Cittadella,1-0,0-0
2012-09-22,Crotone,Bari,0-0,0-0
2012-09-22,Juve Stabia,Varese,1-2,1-1
2012-09-22,Modena,Livorno,1-0,0-0
2012-09-22,Padova,Reggina,3-2,2-1
2012-09-22,Pro Vercelli,Ascoli,3-1,3-0
2012-09-22,Spezia,Sassuolo,0-2,0-1
2012-09-22,Vicenza,Brescia,2-2,1-0
2012-09-22,Virtus Lanciano,Grosseto,1-1,0-1
2012-09-25,Ascoli,Cesena,1-0,0-0
2012-09-25,Bari,Pro Vercelli,2-1,1-0
2012-09-25,Brescia,Modena,2-1,0-0
2012-09-25,Grosseto,Juve Stabia,2-2,1-1
2012-09-25,Livorno,Cittadella,2-2,1-0
2012-09-25,Novara,Spezia,1-0,0-0
2012-09-25,Padova,Empoli,2-0,1-0
2012-09-25,Reggina,Virtus Lanciano,0-1,0-1
2012-09-25,Sassuolo,Vicenza,0-0,0-0
2012-09-25,Ternana,Crotone,1-0,0-0
2012-09-25,Varese,Verona,0-3,0-1
2012-09-29,Crotone,Livorno,1-2,1-1
2012-09-29,Empoli,Brescia,1-1,1-1
2012-09-29,Juve Stabia,Padova,1-0,0-0
2012-09-29,Novara,Ternana,1-2,0-1
2012-09-29,Sassuolo,Ascoli,1-0,1-0
2012-09-29,Spezia,Reggina,1-0,0-0
2012-09-29,Verona,Bari,1-0,0-0
2012-09-29,Vicenza,Grosseto,2-1,0-1
2012-09-29,Virtus Lanciano,Modena,1-1,1-0
2012-10-01,Cesena,Varese,2-0,1-0
2012-10-01,Cittadella,Pro Vercelli,3-0,1-0
2012-10-05,Padova,Verona,2-1,1-1
2012-10-06,Ascoli,Crotone,2-0,1-0
2012-10-06,Bari,Vicenza,1-0,0-0
2012-10-06,Brescia,Virtus Lanciano,2-0,0-0
2012-10-06,Grosseto,Sassuolo,1-2,0-1
2012-10-06,Modena,Cesena,4-0,2-0
2012-10-06,Pro Vercelli,Juve Stabia,1-4,0-3
2012-10-06,Reggina,Novara,1-0,0-0
2012-10-06,Ternana,Cittadella,3-1,2-1
2012-10-06,Varese,Empoli,2-2,1-1
2012-10-08,Livorno,Spezia,1-5,0-2
2012-10-13,Juve Stabia,Bari,2-1,1-0
2012-10-13,Novara,Brescia,4-2,1-0
2012-10-14,Cesena,Crotone,0-0,0-0
2012-10-14,Cittadella,Modena,0-3,0-2
