Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 24 Aug 2018 (W34),Brescia (1),1-1,1-0,Perugia (1)
?,(Sat) 25 Aug 2018 (W34),Cremonese (1),1-1,1-0,Pescara (1)
?,(Sat) 25 Aug 2018 (W34),Salernitana (1),0-0,0-0,Palermo (1)
?,(Sat) 25 Aug 2018 (W34),Venezia (1),1-0,1-0,Spezia (1)
?,(Sun) 26 Aug 2018 (W34),Ascoli (1),1-1,0-1,Cosenza Calcio (1)
?,(Sun) 26 Aug 2018 (W34),Cittadella (1),3-0,1-0,FC Crotone (1)
?,(Sun) 26 Aug 2018 (W34),Foggia (1),4-2,1-0,Carpi (1)
?,(Sun) 26 Aug 2018 (W34),Hellas Verona FC (1),1-1,1-1,Calcio Padova (1)
?,(Mon) 27 Aug 2018 (W35),Benevento (1),3-3,0-1,US Lecce (1)
?,(Fri) 31 Aug 2018 (W35),Palermo (2),2-2,1-0,Cremonese (2)
?,(Sat) 1 Sep 2018 (W35),Carpi (2),0-1,0-0,Cittadella (2)
?,(Sat) 1 Sep 2018 (W35),Cosenza Calcio (2),0-3,?,Hellas Verona FC (2)
?,(Sat) 1 Sep 2018 (W35),Calcio Padova (2),1-0,1-0,Venezia (2)
?,(Sat) 1 Sep 2018 (W35),Spezia (2),3-2,2-2,Brescia (2)
?,(Sun) 2 Sep 2018 (W35),FC Crotone (2),4-1,1-0,Foggia (2)
?,(Sun) 2 Sep 2018 (W35),US Lecce (2),2-2,1-0,Salernitana (2)
?,(Sun) 2 Sep 2018 (W35),Perugia (2),2-0,1-0,Ascoli (2)
?,(Sun) 2 Sep 2018 (W35),Pescara (2),2-1,0-0,AS Livorno Calcio (1)
?,(Fri) 14 Sep 2018 (W37),Venezia (3),2-3,0-2,Benevento (2)
?,(Sat) 15 Sep 2018 (W37),Ascoli (3),1-0,0-0,US Lecce (3)
?,(Sat) 15 Sep 2018 (W37),Brescia (3),1-1,0-0,Pescara (3)
?,(Sat) 15 Sep 2018 (W37),Cittadella (3),2-0,0-0,Cosenza Calcio (3)
?,(Sat) 15 Sep 2018 (W37),Cremonese (3),2-0,2-0,Spezia (3)
?,(Sun) 16 Sep 2018 (W37),Foggia (3),1-2,1-0,Palermo (3)
?,(Sun) 16 Sep 2018 (W37),Salernitana (3),3-0,1-0,Calcio Padova (3)
?,(Sun) 16 Sep 2018 (W37),Hellas Verona FC (3),4-1,2-0,Carpi (3)
?,(Mon) 17 Sep 2018 (W38),AS Livorno Calcio (2),0-1,0-0,FC Crotone (3)
?,(Fri) 21 Sep 2018 (W38),Benevento (3),4-0,1-0,Salernitana (4)
