Date,Team 1,Team 2,FT,HT
2006-09-08,Arezzo,Mantova,1-1,0-0
2006-09-09,Brescia,Piacenza,2-0,2-0
2006-09-09,Crotone,Bari,3-2,2-1
2006-09-09,Lecce,Albinoleffe,3-1,1-0
2006-09-09,Modena,Verona,0-1,0-1
2006-09-09,Napoli,Treviso,4-2,2-0
2006-09-09,Pescara,Bologna,0-1,0-0
2006-09-09,Rimini,Juventus,1-1,0-0
2006-09-09,Triestina,Frosinone,1-0,0-0
2006-09-09,Vicenza,Genoa,1-2,0-1
2006-09-11,Spezia,Cesena,1-1,0-0
2006-09-15,Albinoleffe,Modena,0-0,0-0
2006-09-15,Bari,Brescia,1-1,1-0
2006-09-16,Bologna,Spezia,2-1,0-0
2006-09-16,Cesena,Crotone,3-1,1-1
2006-09-16,Frosinone,Arezzo,0-0,0-0
2006-09-16,Genoa,Rimini,2-1,2-0
2006-09-16,Juventus,Vicenza,2-1,1-0
2006-09-16,Mantova,Pescara,2-1,0-1
2006-09-16,Piacenza,Napoli,2-1,1-1
2006-09-16,Treviso,Triestina,0-0,0-0
2006-09-16,Verona,Lecce,1-1,1-0
2006-09-19,Arezzo,Napoli,0-0,0-0
2006-09-19,Brescia,Treviso,2-1,0-1
2006-09-19,Crotone,Juventus,0-3,0-2
2006-09-19,Lecce,Mantova,2-0,1-0
2006-09-19,Modena,Genoa,2-0,1-0
2006-09-19,Pescara,Bari,0-1,0-0
2006-09-19,Piacenza,Bologna,1-0,0-0
2006-09-19,Rimini,Frosinone,2-1,0-0
2006-09-19,Triestina,Albinoleffe,1-2,0-1
2006-09-20,Spezia,Verona,1-0,1-0
2006-09-20,Vicenza,Cesena,0-1,0-0
2006-09-23,Albinoleffe,Arezzo,0-0,0-0
2006-09-23,Bari,Vicenza,0-0,0-0
2006-09-23,Cesena,Pescara,3-3,1-2
2006-09-23,Frosinone,Spezia,2-2,0-0
2006-09-23,Genoa,Piacenza,2-0,1-0
2006-09-23,Juventus,Modena,4-0,2-0
2006-09-23,Mantova,Crotone,3-0,2-0
2006-09-23,Napoli,Triestina,1-1,1-0
2006-09-23,Verona,Brescia,0-1,0-1
2006-09-25,Bologna,Rimini,1-3,0-0
2006-09-25,Treviso,Lecce,1-0,0-0
2006-09-29,Arezzo,Bari,0-1,0-1
2006-09-30,Bologna,Cesena,1-1,0-0
2006-09-30,Brescia,Albinoleffe,1-1,1-0
2006-09-30,Crotone,Treviso,0-2,0-1
2006-09-30,Lecce,Genoa,3-2,2-2
2006-09-30,Pescara,Verona,0-0,0-0
2006-09-30,Piacenza,Juventus,0-2,0-2
2006-09-30,Rimini,Modena,1-1,1-0
2006-09-30,Spezia,Napoli,0-1,0-0
2006-09-30,Vicenza,Frosinone,1-2,1-1
