Date,Team 1,Team 2,FT,HT
2020-09-09,Fiorentina,Inter,2-3,0-2
2020-09-09,Roma,Livorno,2-0,1-0
2020-09-10,Atalanta,Ascoli,3-1,3-0
2020-09-10,Cagliari,Catania,0-1,0-0
2020-09-10,Chievo,Siena,1-2,1-0
2020-09-10,Messina,Udinese,1-0,0-0
2020-09-10,Milan,Lazio,2-1,1-0
2020-09-10,Palermo,Reggina,4-3,3-1
2020-09-10,Sampdoria,Empoli,1-2,1-1
2020-09-10,Torino,Parma,1-1,0-0
2020-09-16,Inter,Sampdoria,1-1,0-0
2020-09-16,Reggina,Cagliari,2-1,0-0
2020-09-17,Ascoli,Messina,1-1,0-0
2020-09-17,Catania,Atalanta,0-0,0-0
2020-09-17,Empoli,Chievo,1-1,0-1
2020-09-17,Lazio,Palermo,1-2,0-2
2020-09-17,Livorno,Fiorentina,1-0,0-0
2020-09-17,Parma,Milan,0-2,0-1
2020-09-17,Siena,Roma,1-3,0-0
2020-09-17,Udinese,Torino,2-0,1-0
2020-09-20,Atalanta,Empoli,0-0,0-0
2020-09-20,Cagliari,Livorno,2-2,1-1
2020-09-20,Chievo,Lazio,0-1,0-0
2020-09-20,Fiorentina,Parma,1-0,1-0
2020-09-20,Messina,Reggina,2-0,1-0
2020-09-20,Milan,Ascoli,1-0,0-0
2020-09-20,Palermo,Catania,5-3,1-1
2020-09-20,Roma,Inter,0-1,0-1
2020-09-20,Sampdoria,Udinese,3-3,1-3
2020-09-20,Torino,Siena,1-2,1-2
2020-09-23,Catania,Messina,2-2,0-1
2020-09-23,Livorno,Milan,0-0,0-0
2020-09-24,Ascoli,Sampdoria,1-1,1-0
2020-09-24,Empoli,Palermo,2-0,1-0
2020-09-24,Inter,Chievo,4-3,1-0
2020-09-24,Lazio,Atalanta,1-0,0-0
2020-09-24,Parma,Roma,0-4,0-2
2020-09-24,Reggina,Torino,1-1,0-0
2020-09-24,Siena,Cagliari,0-0,0-0
2020-09-24,Udinese,Fiorentina,1-0,1-0
2020-09-30,Atalanta,Reggina,1-1,1-1
2020-09-30,Torino,Lazio,0-4,0-0
2020-10-01,Cagliari,Inter,1-1,1-1
2020-10-01,Chievo,Palermo,0-1,0-1
2020-10-01,Fiorentina,Catania,3-0,0-0
2020-10-01,Messina,Livorno,0-1,0-0
2020-10-01,Milan,Siena,0-0,0-0
2020-10-01,Roma,Empoli,1-0,1-0
2020-10-01,Sampdoria,Parma,3-2,1-1
2020-10-01,Udinese,Ascoli,0-0,0-0
2020-10-14,Sampdoria,Milan,1-1,0-0
2020-10-14,Siena,Messina,3-1,1-1
2020-10-15,Ascoli,Livorno,0-2,0-1
2020-10-15,Empoli,Fiorentina,1-2,1-0
2020-10-15,Inter,Catania,2-1,1-1
2020-10-15,Lazio,Cagliari,0-0,0-0
2020-10-15,Palermo,Atalanta,2-3,2-2
2020-10-15,Parma,Udinese,0-3,0-2
2020-10-15,Reggina,Roma,1-0,0-0
2020-10-15,Torino,Chievo,1-0,0-0
2020-10-21,Cagliari,Torino,0-0,0-0
2020-10-21,Messina,Empoli,2-2,1-1
2020-10-22,Atalanta,Sampdoria,3-2,1-2
2020-10-22,Catania,Lazio,3-1,2-0
2020-10-22,Fiorentina,Reggina,3-0,2-0
2020-10-22,Livorno,Siena,0-0,0-0
2020-10-22,Milan,Palermo,0-2,0-0
2020-10-22,Parma,Ascoli,1-0,1-0
2020-10-22,Roma,Chievo,1-1,0-1
