Date,Team 1,Team 2,FT,HT
2009-08-22,Bologna,Fiorentina,1-1,1-0
2009-08-22,Siena,Milan,1-2,1-1
2009-08-23,Catania,Sampdoria,1-2,1-1
2009-08-23,Genoa,Roma,3-2,0-0
2009-08-23,Inter,Bari,1-1,0-0
2009-08-23,Juventus,Chievo,1-0,1-0
2009-08-23,Lazio,Atalanta,1-0,1-0
2009-08-23,Livorno,Cagliari,0-0,0-0
2009-08-23,Palermo,Napoli,2-1,1-0
2009-08-23,Udinese,Parma,2-2,1-1
2009-08-29,Bari,Bologna,0-0,0-0
2009-08-29,Milan,Inter,0-4,0-3
2009-08-30,Atalanta,Genoa,0-1,0-1
2009-08-30,Cagliari,Siena,1-3,0-0
2009-08-30,Chievo,Lazio,1-2,1-1
2009-08-30,Fiorentina,Palermo,1-0,1-0
2009-08-30,Napoli,Livorno,3-1,2-0
2009-08-30,Parma,Catania,2-1,1-1
2009-08-30,Roma,Juventus,1-3,1-1
2009-08-30,Sampdoria,Udinese,3-1,2-0
2009-09-12,Lazio,Juventus,0-2,0-0
2009-09-12,Livorno,Milan,0-0,0-0
2009-09-13,Atalanta,Sampdoria,0-1,0-0
2009-09-13,Bologna,Chievo,0-2,0-2
2009-09-13,Fiorentina,Cagliari,1-0,0-0
2009-09-13,Genoa,Napoli,4-1,1-1
2009-09-13,Inter,Parma,2-0,0-0
2009-09-13,Palermo,Bari,1-1,0-1
2009-09-13,Siena,Roma,1-2,1-0
2009-09-13,Udinese,Catania,4-2,1-2
2009-09-19,Juventus,Livorno,2-0,2-0
2009-09-19,Napoli,Udinese,0-0,0-0
2009-09-20,Bari,Atalanta,4-1,3-0
2009-09-20,Cagliari,Inter,1-2,1-0
2009-09-20,Catania,Lazio,1-1,1-0
2009-09-20,Chievo,Genoa,3-1,2-0
2009-09-20,Milan,Bologna,1-0,0-0
2009-09-20,Parma,Palermo,1-0,1-0
2009-09-20,Roma,Fiorentina,3-1,3-0
2009-09-20,Sampdoria,Siena,4-1,2-0
2009-09-23,Atalanta,Catania,0-0,0-0
2009-09-23,Bari,Cagliari,0-1,0-0
2009-09-23,Bologna,Livorno,2-0,1-0
2009-09-23,Fiorentina,Sampdoria,2-0,1-0
2009-09-23,Inter,Napoli,3-1,3-1
2009-09-23,Lazio,Parma,1-2,1-2
