Date,Team 1,Team 2,FT,HT
2009-08-21,Albinoleffe,Vicenza,2-2,1-1
2009-08-21,Ascoli,Gallipoli,1-1,0-1
2009-08-21,Brescia,Cittadella,1-0,1-0
2009-08-21,Empoli,Piacenza,2-0,1-0
2009-08-21,Grosseto,Torino,0-3,0-1
2009-08-21,Lecce,Ancona,3-0,2-0
2009-08-21,Mantova,Triestina,0-0,0-0
2009-08-21,Padova,Modena,1-0,0-0
2009-08-21,Salernitana,Frosinone,1-2,0-2
2009-08-21,Sassuolo,Crotone,2-0,1-0
2009-08-24,Cesena,Reggina,0-1,0-0
2009-08-29,Ancona,Salernitana,2-0,1-0
2009-08-29,Cittadella,Albinoleffe,2-1,2-1
2009-08-29,Crotone,Brescia,0-0,0-0
2009-08-29,Frosinone,Mantova,1-0,0-0
2009-08-29,Gallipoli,Cesena,0-2,0-0
2009-08-29,Modena,Ascoli,1-2,0-1
2009-08-29,Piacenza,Lecce,3-2,1-0
2009-08-29,Reggina,Padova,1-1,1-1
2009-08-29,Triestina,Grosseto,1-0,1-0
2009-08-29,Vicenza,Sassuolo,1-1,1-0
2009-08-31,Torino,Empoli,3-0,0-0
2009-09-06,Albinoleffe,Ancona,1-3,1-3
2009-09-06,Ascoli,Mantova,2-1,0-0
2009-09-06,Brescia,Torino,1-0,1-0
2009-09-06,Cesena,Cittadella,1-0,1-0
2009-09-06,Empoli,Crotone,3-1,1-0
2009-09-06,Grosseto,Gallipoli,2-2,1-0
2009-09-06,Lecce,Frosinone,1-3,1-3
2009-09-06,Salernitana,Modena,1-2,0-0
2009-09-11,Modena,Lecce,0-0,0-0
2009-09-12,Cittadella,Grosseto,1-1,0-1
2009-09-12,Crotone,Cesena,0-0,0-0
2009-09-12,Frosinone,Padova,2-2,1-0
2009-09-12,Gallipoli,Sassuolo,1-1,0-0
2009-09-12,Mantova,Reggina,2-2,0-0
2009-09-12,Piacenza,Brescia,1-3,0-2
2009-09-12,Torino,Albinoleffe,2-1,1-1
2009-09-12,Triestina,Salernitana,2-0,0-0
2009-09-12,Vicenza,Ascoli,2-2,1-1
2009-09-14,Ancona,Empoli,2-0,2-0
2009-09-15,Padova,Piacenza,0-0,0-0
2009-09-15,Reggina,Vicenza,0-2,0-1
2009-09-15,Sassuolo,Triestina,2-1,0-0
2009-09-18,Ascoli,Brescia,2-0,2-0
2009-09-18,Salernitana,Torino,0-3,0-1
2009-09-19,Albinoleffe,Piacenza,0-1,0-1
2009-09-19,Cesena,Triestina,4-1,2-1
2009-09-19,Empoli,Frosinone,2-0,2-0
2009-09-19,Grosseto,Modena,3-1,2-0
2009-09-19,Lecce,Crotone,0-0,0-0
