Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 5 Sep 1998 (35),Cremonese (1),3-2,2-1,Torino FC (1)
?,(Sun) 6 Sep 1998 (35),Atalanta BC (1),1-0,0-0,Genoa CFC (1)
?,(Sun) 6 Sep 1998 (35),Brescia (1),3-0,0-0,Cesena (1)
?,(Sun) 6 Sep 1998 (35),Lecce (1),1-0,1-0,Reggina (1)
?,(Sun) 6 Sep 1998 (35),Monza (1),0-0,0-0,Lucchese (1)
?,(Sun) 6 Sep 1998 (35),SSC Napoli (1),1-2,1-2,Cosenza (1)
?,(Sun) 6 Sep 1998 (35),Ravenna (1),3-0,2-0,F. Andria (1)
?,(Sun) 6 Sep 1998 (35),Ternana (1),0-0,0-0,Reggiana (1)
?,(Sun) 6 Sep 1998 (35),Treviso (1),1-0,0-0,AC Chievo Verona (1)
?,(Sun) 6 Sep 1998 (35),Hellas Verona FC (1),4-1,2-0,Pescara (1)
?,(Sat) 12 Sep 1998 (36),Pescara (2),0-1,0-0,SSC Napoli (2)
?,(Sun) 13 Sep 1998 (36),Cesena (2),2-3,0-2,Treviso (2)
?,(Sun) 13 Sep 1998 (36),AC Chievo Verona (2),2-0,2-0,Atalanta BC (2)
?,(Sun) 13 Sep 1998 (36),Cosenza (2),1-1,1-0,Ternana (2)
?,(Sun) 13 Sep 1998 (36),F. Andria (2),1-1,0-1,Brescia (2)
?,(Sun) 13 Sep 1998 (36),Genoa CFC (2),0-1,0-1,Lecce (2)
?,(Sun) 13 Sep 1998 (36),Lucchese (2),1-2,0-1,Hellas Verona FC (2)
?,(Sun) 13 Sep 1998 (36),Reggiana (2),1-1,0-0,Cremonese (2)
?,(Sun) 13 Sep 1998 (36),Reggina (2),0-0,0-0,Monza (2)
?,(Sun) 13 Sep 1998 (36),Torino FC (2),3-0,0-0,Ravenna (2)
?,(Sat) 19 Sep 1998 (37),Hellas Verona FC (3),2-5,0-3,Reggiana (3)
?,(Sun) 20 Sep 1998 (37),Cosenza (3),2-1,1-0,AC Chievo Verona (3)
?,(Sun) 20 Sep 1998 (37),Cremonese (3),2-1,1-0,F. Andria (3)
?,(Sun) 20 Sep 1998 (37),Lecce (3),0-1,0-0,Treviso (3)
?,(Sun) 20 Sep 1998 (37),Lucchese (3),0-0,0-0,Brescia (3)
?,(Sun) 20 Sep 1998 (37),Monza (3),0-2,0-0,Genoa CFC (3)
?,(Sun) 20 Sep 1998 (37),SSC Napoli (3),1-1,1-0,Reggina (3)
?,(Sun) 20 Sep 1998 (37),Pescara (3),1-0,0-0,Atalanta BC (3)
?,(Sun) 20 Sep 1998 (37),Ravenna (3),2-1,1-1,Cesena (3)
?,(Sun) 20 Sep 1998 (37),Ternana (3),2-1,1-0,Torino FC (3)
?,(Sat) 26 Sep 1998 (38),F. Andria (4),0-0,0-0,Lecce (4)
?,(Sun) 27 Sep 1998 (38),Atalanta BC (4),1-0,1-0,Ternana (4)
?,(Sun) 27 Sep 1998 (38),Brescia (4),1-0,1-0,Cremonese (4)
?,(Sun) 27 Sep 1998 (38),Cesena (4),0-1,0-0,Monza (4)
?,(Sun) 27 Sep 1998 (38),AC Chievo Verona (4),0-2,0-1,Pescara (4)
?,(Sun) 27 Sep 1998 (38),Genoa CFC (4),1-3,0-2,Ravenna (4)
?,(Sun) 27 Sep 1998 (38),Reggiana (4),0-1,0-0,SSC Napoli (4)
?,(Sun) 27 Sep 1998 (38),Reggina (4),2-1,1-0,Lucchese (4)
?,(Sun) 27 Sep 1998 (38),Torino FC (4),1-0,0-0,Cosenza (4)
?,(Sun) 27 Sep 1998 (38),Treviso (4),0-0,0-0,Hellas Verona FC (4)
?,(Sat) 3 Oct 1998 (39),SSC Napoli (5),0-0,0-0,Atalanta BC (5)
?,(Sun) 4 Oct 1998 (39),AC Chievo Verona (5),0-2,0-1,Brescia (5)
?,(Sun) 4 Oct 1998 (39),Cosenza (5),2-0,2-0,F. Andria (5)
?,(Sun) 4 Oct 1998 (39),Cremonese (5),0-0,0-0,Hellas Verona FC (5)
?,(Sun) 4 Oct 1998 (39),Lecce (5),1-1,1-0,Torino FC (5)
?,(Sun) 4 Oct 1998 (39),Lucchese (5),0-0,0-0,Cesena (5)
?,(Sun) 4 Oct 1998 (39),Monza (5),0-0,0-0,Treviso (5)
?,(Sun) 4 Oct 1998 (39),Pescara (5),1-0,1-0,Reggiana (5)
?,(Sun) 4 Oct 1998 (39),Ravenna (5),1-1,1-0,Reggina (5)
?,(Sun) 4 Oct 1998 (39),Ternana (5),0-0,0-0,Genoa CFC (5)
?,(Sat) 10 Oct 1998 (40),Genoa CFC (6),3-2,1-1,Pescara (6)
?,(Sun) 11 Oct 1998 (40),Atalanta BC (6),1-1,0-1,Ravenna (6)
?,(Sun) 11 Oct 1998 (40),Brescia (6),0-0,0-0,Cosenza (6)
?,(Sun) 11 Oct 1998 (40),Cesena (6),0-0,0-0,SSC Napoli (6)
?,(Sun) 11 Oct 1998 (40),F. Andria (6),1-0,0-0,Lucchese (6)
?,(Sun) 11 Oct 1998 (40),Reggiana (6),2-1,0-1,Lecce (6)
?,(Sun) 11 Oct 1998 (40),Ternana (6),2-1,1-0,Monza (6)
?,(Sun) 11 Oct 1998 (40),Torino FC (6),2-0,1-0,AC Chievo Verona (6)
?,(Sun) 11 Oct 1998 (40),Treviso (6),3-1,1-1,Cremonese (6)
?,(Sun) 11 Oct 1998 (40),Hellas Verona FC (6),3-1,2-0,Reggina (6)
?,(Sat) 17 Oct 1998 (41),Torino FC (7),3-0,1-0,Genoa CFC (7)
?,(Sun) 18 Oct 1998 (41),Atalanta BC (7),0-0,0-0,Cesena (7)
?,(Sun) 18 Oct 1998 (41),AC Chievo Verona (7),1-0,0-0,Ternana (7)
?,(Sun) 18 Oct 1998 (41),Cosenza (7),0-1,0-0,Hellas Verona FC (7)
?,(Sun) 18 Oct 1998 (41),Lecce (7),2-0,0-0,Brescia (7)
?,(Sun) 18 Oct 1998 (41),Monza (7),1-0,1-0,F. Andria (7)
?,(Sun) 18 Oct 1998 (41),SSC Napoli (7),1-1,1-1,Treviso (7)
?,(Sun) 18 Oct 1998 (41),Pescara (7),0-0,0-0,Lucchese (7)
?,(Sun) 18 Oct 1998 (41),Ravenna (7),1-0,1-0,Reggiana (7)
?,(Sun) 18 Oct 1998 (41),Reggina (7),0-0,0-0,Cremonese (7)
?,(Sat) 31 Oct 1998 (43),Treviso (8),4-2,1-1,Reggina (8)
?,(Sun) 1 Nov 1998 (43),Cesena (8),1-1,1-0,Pescara (8)
?,(Sun) 1 Nov 1998 (43),Cremonese (8),0-2,0-1,Lecce (8)
?,(Sun) 1 Nov 1998 (43),F. Andria (8),0-1,0-0,AC Chievo Verona (8)
?,(Sun) 1 Nov 1998 (43),Genoa CFC (8),0-0,0-0,Cosenza (8)
?,(Sun) 1 Nov 1998 (43),Lucchese (8),0-1,0-0,Torino FC (8)
?,(Sun) 1 Nov 1998 (43),Reggiana (8),1-1,0-0,Monza (8)
?,(Sun) 1 Nov 1998 (43),Ternana (8),2-1,1-0,SSC Napoli (8)
?,(Sun) 1 Nov 1998 (43),Hellas Verona FC (8),4-0,2-0,Ravenna (8)
?,(Tue) 3 Nov 1998 (44),Brescia (8),1-1,1-1,Atalanta BC (8)
