Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 31 Aug 1997 (34),Atalanta BC (1),4-2,1-0,Bologna FC (1)
?,(Sun) 31 Aug 1997 (34),Bari (1),0-2,0-1,Parma (1)
?,(Sun) 31 Aug 1997 (34),Empoli (1),1-3,1-1,AS Roma (1)
?,(Sun) 31 Aug 1997 (34),FC Internazionale Milano (1),2-1,0-0,Brescia (1)
?,(Sun) 31 Aug 1997 (34),Juventus (1),2-0,0-0,US Lecce (1)
?,(Sun) 31 Aug 1997 (34),SS Lazio (1),2-0,0-0,SSC Napoli (1)
?,(Sun) 31 Aug 1997 (34),Piacenza Calcio (1),1-1,0-0,AC Milan (1)
?,(Sun) 31 Aug 1997 (34),UC Sampdoria (1),2-1,1-0,LR Vicenza Virtus (1)
?,(Sun) 31 Aug 1997 (34),Udinese Calcio (1),2-3,1-0,ACF Fiorentina (1)
?,(Sat) 13 Sep 1997 (36),Brescia (2),3-3,1-0,UC Sampdoria (2)
?,(Sat) 13 Sep 1997 (36),US Lecce (2),1-2,0-1,Udinese Calcio (2)
?,(Sat) 13 Sep 1997 (36),AC Milan (2),1-1,1-0,SS Lazio (2)
?,(Sun) 14 Sep 1997 (36),Bologna FC (2),2-4,1-2,FC Internazionale Milano (2)
?,(Sun) 14 Sep 1997 (36),ACF Fiorentina (2),3-1,3-1,Bari (2)
?,(Sun) 14 Sep 1997 (36),SSC Napoli (2),2-1,1-0,Empoli (2)
?,(Sun) 14 Sep 1997 (36),Parma (2),2-2,2-1,Atalanta BC (2)
?,(Sun) 14 Sep 1997 (36),AS Roma (2),0-0,0-0,Juventus (2)
?,(Sun) 14 Sep 1997 (36),LR Vicenza Virtus (2),3-2,1-1,Piacenza Calcio (2)
?,(Sun) 21 Sep 1997 (37),Atalanta BC (3),0-2,0-1,UC Sampdoria (3)
?,(Sun) 21 Sep 1997 (37),Bari (3),0-0,0-0,Bologna FC (3)
?,(Sun) 21 Sep 1997 (37),Empoli (3),1-0,1-0,SS Lazio (3)
?,(Sun) 21 Sep 1997 (37),FC Internazionale Milano (3),3-2,1-0,ACF Fiorentina (3)
?,(Sun) 21 Sep 1997 (37),Juventus (3),4-0,3-0,Brescia (3)
?,(Sun) 21 Sep 1997 (37),Piacenza Calcio (3),1-3,1-2,Parma (3)
?,(Sun) 21 Sep 1997 (37),AS Roma (3),3-1,0-0,US Lecce (3)
?,(Sun) 21 Sep 1997 (37),Udinese Calcio (3),2-1,1-1,AC Milan (3)
?,(Sun) 21 Sep 1997 (37),LR Vicenza Virtus (3),1-1,1-1,SSC Napoli (3)
?,(Sat) 27 Sep 1997 (38),SS Lazio (4),3-2,1-0,Bari (4)
?,(Sat) 27 Sep 1997 (38),US Lecce (4),1-5,0-1,FC Internazionale Milano (4)
?,(Sat) 27 Sep 1997 (38),Parma (4),4-0,1-0,Udinese Calcio (4)
?,(Sat) 27 Sep 1997 (38),UC Sampdoria (4),1-1,1-0,Juventus (4)
?,(Sun) 28 Sep 1997 (38),Bologna FC (4),0-0,0-0,AS Roma (4)
?,(Sun) 28 Sep 1997 (38),Brescia (4),2-0,1-0,Piacenza Calcio (4)
?,(Sun) 28 Sep 1997 (38),ACF Fiorentina (4),1-2,1-0,Empoli (4)
?,(Sun) 28 Sep 1997 (38),AC Milan (4),0-1,0-1,LR Vicenza Virtus (4)
?,(Sun) 28 Sep 1997 (38),SSC Napoli (4),0-1,0-0,Atalanta BC (4)
?,(Sun) 5 Oct 1997 (39),Atalanta BC (5),0-1,0-0,Brescia (5)
?,(Sun) 5 Oct 1997 (39),Empoli (5),0-1,0-0,AC Milan (5)
?,(Sun) 5 Oct 1997 (39),FC Internazionale Milano (5),1-1,1-1,SS Lazio (5)
?,(Sun) 5 Oct 1997 (39),Juventus (5),2-1,2-1,ACF Fiorentina (5)
?,(Sun) 5 Oct 1997 (39),US Lecce (5),0-1,0-0,Bari (5)
?,(Sun) 5 Oct 1997 (39),Piacenza Calcio (5),0-0,0-0,Bologna FC (5)
?,(Sun) 5 Oct 1997 (39),AS Roma (5),6-2,2-0,SSC Napoli (5)
?,(Sun) 5 Oct 1997 (39),Udinese Calcio (5),3-2,2-2,UC Sampdoria (5)
?,(Sun) 5 Oct 1997 (39),LR Vicenza Virtus (5),0-0,0-0,Parma (5)
?,(Sat) 18 Oct 1997 (41),SS Lazio (6),0-2,0-1,Atalanta BC (6)
?,(Sat) 18 Oct 1997 (41),SSC Napoli (6),0-2,0-1,FC Internazionale Milano (6)
?,(Sat) 18 Oct 1997 (41),Udinese Calcio (6),2-2,1-2,Empoli (6)
?,(Sun) 19 Oct 1997 (41),Bari (6),0-5,0-0,Juventus (6)
?,(Sun) 19 Oct 1997 (41),Brescia (6),4-0,0-0,LR Vicenza Virtus (6)
?,(Sun) 19 Oct 1997 (41),ACF Fiorentina (6),0-0,0-0,AS Roma (6)
?,(Sun) 19 Oct 1997 (41),AC Milan (6),1-2,0-1,US Lecce (6)
?,(Sun) 19 Oct 1997 (41),Parma (6),2-0,1-0,Bologna FC (6)
