Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 14 Sep 2002 (36),Bologna FC (1),2-1,0-1,AS Roma (1)
?,(Sat) 14 Sep 2002 (36),Como 1907 (1),0-2,0-1,Empoli (1)
?,(Sat) 14 Sep 2002 (36),FC Internazionale Milano (1),1-0,1-0,Torino FC (1)
?,(Sat) 14 Sep 2002 (36),Modena FC (1),0-3,0-1,AC Milan (1)
?,(Sun) 15 Sep 2002 (36),Brescia (1),1-2,0-0,Piacenza Calcio (1)
?,(Sun) 15 Sep 2002 (36),Juventus (1),3-0,2-0,Atalanta BC (1)
?,(Sun) 15 Sep 2002 (36),SS Lazio (1),2-3,1-1,AC Chievo Verona (1)
?,(Sun) 15 Sep 2002 (36),Perugia (1),2-0,0-0,Urbs Reggina (1)
?,(Sun) 15 Sep 2002 (36),Udinese Calcio (1),1-1,0-1,Parma (1)
?,(Sat) 21 Sep 2002 (37),Empoli (2),0-2,0-1,Juventus (2)
?,(Sat) 21 Sep 2002 (37),AC Milan (2),3-0,1-0,Perugia (2)
?,(Sun) 22 Sep 2002 (37),Atalanta BC (2),2-2,1-1,Bologna FC (2)
?,(Sun) 22 Sep 2002 (37),AC Chievo Verona (2),1-2,0-0,Brescia (2)
?,(Sun) 22 Sep 2002 (37),Parma (2),2-0,1-0,Como 1907 (2)
?,(Sun) 22 Sep 2002 (37),Piacenza Calcio (2),2-0,1-0,Udinese Calcio (2)
?,(Sun) 22 Sep 2002 (37),Urbs Reggina (2),1-2,0-1,FC Internazionale Milano (2)
?,(Sun) 22 Sep 2002 (37),AS Roma (2),1-2,1-1,Modena FC (2)
?,(Sun) 22 Sep 2002 (37),Torino FC (2),0-1,0-0,SS Lazio (2)
?,(Sat) 28 Sep 2002 (38),Juventus (3),2-2,0-0,Parma (3)
?,(Sat) 28 Sep 2002 (38),SS Lazio (3),1-1,0-1,AC Milan (3)
?,(Sun) 29 Sep 2002 (38),Bologna FC (3),1-0,0-0,Piacenza Calcio (3)
?,(Sun) 29 Sep 2002 (38),Brescia (3),2-3,1-2,AS Roma (3)
?,(Sun) 29 Sep 2002 (38),Como 1907 (3),1-1,1-0,Urbs Reggina (3)
?,(Sun) 29 Sep 2002 (38),FC Internazionale Milano (3),2-1,1-1,AC Chievo Verona (3)
?,(Sun) 29 Sep 2002 (38),Modena FC (3),2-1,1-0,Torino FC (3)
