Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 14 Sep 2002 (36),US Anconitana ASD (1),4-2,3-1,Palermo (1)
?,(Sat) 14 Sep 2002 (36),Bari (1),2-0,1-0,Ascoli (1)
?,(Sat) 14 Sep 2002 (36),Cagliari Calcio (1),2-2,1-2,SSC Napoli (1)
?,(Sat) 14 Sep 2002 (36),Calcio Catania (1),3-2,3-0,Genoa CFC (1)
?,(Sat) 14 Sep 2002 (36),Cosenza Calcio (1),2-1,1-1,LR Vicenza Virtus (1)
?,(Sat) 14 Sep 2002 (36),Salernitana (1),0-3,0-1,Ternana (1)
?,(Sat) 14 Sep 2002 (36),UC Sampdoria (1),4-2,1-1,US Lecce (1)
?,(Sat) 14 Sep 2002 (36),SS Robur Siena (1),1-0,0-0,ACR Messina SSD (1)
?,(Sat) 14 Sep 2002 (36),US Triestina Calcio (1),1-2,0-1,Venezia (1)
?,(Sat) 14 Sep 2002 (36),Hellas Verona FC (1),0-1,0-1,AS Livorno Calcio (1)
?,(Sat) 21 Sep 2002 (37),Ascoli (2),0-0,0-0,UC Sampdoria (2)
?,(Sat) 21 Sep 2002 (37),Genoa CFC (2),0-0,0-0,Bari (2)
?,(Sat) 21 Sep 2002 (37),US Lecce (2),2-1,0-0,Salernitana (2)
?,(Sat) 21 Sep 2002 (37),AS Livorno Calcio (2),2-0,0-0,US Triestina Calcio (2)
?,(Sat) 21 Sep 2002 (37),ACR Messina SSD (2),3-3,1-1,Calcio Catania (2)
?,(Sat) 21 Sep 2002 (37),SSC Napoli (2),1-2,1-2,Cosenza Calcio (2)
?,(Sat) 21 Sep 2002 (37),Palermo (2),1-0,1-0,SS Robur Siena (2)
?,(Sat) 21 Sep 2002 (37),Ternana (2),0-1,0-0,Cagliari Calcio (2)
?,(Sat) 21 Sep 2002 (37),Venezia (2),1-1,1-0,Hellas Verona FC (2)
?,(Sat) 21 Sep 2002 (37),LR Vicenza Virtus (2),1-1,1-1,US Anconitana ASD (2)
?,(Sat) 28 Sep 2002 (38),US Anconitana ASD (3),1-1,0-0,Ternana (3)
?,(Sat) 28 Sep 2002 (38),Bari (3),0-1,0-0,SSC Napoli (3)
?,(Sat) 28 Sep 2002 (38),Cagliari Calcio (3),1-0,1-0,Genoa CFC (3)
?,(Sat) 28 Sep 2002 (38),ACR Messina SSD (3),0-2,0-0,US Lecce (3)
?,(Sat) 28 Sep 2002 (38),Salernitana (3),2-1,0-0,AS Livorno Calcio (3)
?,(Sat) 28 Sep 2002 (38),UC Sampdoria (3),2-1,0-0,Cosenza Calcio (3)
?,(Sat) 28 Sep 2002 (38),SS Robur Siena (3),0-0,0-0,LR Vicenza Virtus (3)
?,(Sat) 28 Sep 2002 (38),US Triestina Calcio (3),2-1,1-0,Palermo (3)
?,(Sat) 28 Sep 2002 (38),Venezia (3),1-1,0-1,Ascoli (3)
?,(Sat) 28 Sep 2002 (38),Hellas Verona FC (3),2-0,2-0,Calcio Catania (3)
?,(Sat) 5 Oct 2002 (39),Ascoli (4),1-0,0-0,ACR Messina SSD (4)
?,(Sat) 5 Oct 2002 (39),Calcio Catania (4),0-0,0-0,US Anconitana ASD (4)
?,(Sat) 5 Oct 2002 (39),Cosenza Calcio (4),0-2,0-1,Bari (4)
?,(Sat) 5 Oct 2002 (39),Genoa CFC (4),3-0,2-0,Salernitana (4)
?,(Sat) 5 Oct 2002 (39),US Lecce (4),3-1,1-1,Venezia (4)
?,(Sat) 5 Oct 2002 (39),SSC Napoli (4),1-1,0-1,UC Sampdoria (4)
?,(Sat) 5 Oct 2002 (39),Palermo (4),1-0,0-0,AS Livorno Calcio (4)
?,(Sat) 5 Oct 2002 (39),SS Robur Siena (4),1-0,1-0,Cagliari Calcio (4)
?,(Sat) 5 Oct 2002 (39),Ternana (4),1-0,1-0,Hellas Verona FC (4)
?,(Sat) 5 Oct 2002 (39),LR Vicenza Virtus (4),1-1,0-1,US Triestina Calcio (4)
?,(Sun) 13 Oct 2002 (40),US Anconitana ASD (5),1-1,1-1,SS Robur Siena (5)
?,(Sun) 13 Oct 2002 (40),Bari (5),1-1,0-0,US Lecce (5)
?,(Sun) 13 Oct 2002 (40),Cagliari Calcio (5),1-0,0-0,Ascoli (5)
?,(Sun) 13 Oct 2002 (40),AS Livorno Calcio (5),1-2,0-2,Ternana (5)
?,(Sun) 13 Oct 2002 (40),ACR Messina SSD (5),3-1,2-1,LR Vicenza Virtus (5)
?,(Sun) 13 Oct 2002 (40),Salernitana (5),3-1,0-0,Palermo (5)
?,(Sun) 13 Oct 2002 (40),UC Sampdoria (5),1-0,0-0,Calcio Catania (5)
?,(Sun) 13 Oct 2002 (40),US Triestina Calcio (5),1-0,1-0,Cosenza Calcio (5)
?,(Sun) 13 Oct 2002 (40),Venezia (5),0-1,0-0,Genoa CFC (5)
?,(Sun) 13 Oct 2002 (40),Hellas Verona FC (5),2-2,1-1,SSC Napoli (5)
?,(Sat) 19 Oct 2002 (41),US Anconitana ASD (6),1-1,1-1,UC Sampdoria (6)
?,(Sat) 19 Oct 2002 (41),Cagliari Calcio (6),2-1,1-0,Hellas Verona FC (6)
?,(Sat) 19 Oct 2002 (41),Calcio Catania (6),2-1,1-0,Salernitana (6)
?,(Sat) 19 Oct 2002 (41),Cosenza Calcio (6),1-0,0-0,Ascoli (6)
?,(Sat) 19 Oct 2002 (41),Genoa CFC (6),1-1,1-1,ACR Messina SSD (6)
?,(Sat) 19 Oct 2002 (41),US Lecce (6),1-1,1-1,US Triestina Calcio (6)
?,(Sat) 19 Oct 2002 (41),SSC Napoli (6),0-1,0-1,AS Livorno Calcio (6)
?,(Sat) 19 Oct 2002 (41),SS Robur Siena (6),1-1,1-1,Bari (6)
?,(Sat) 19 Oct 2002 (41),Ternana (6),1-1,1-0,Venezia (6)
?,(Sat) 19 Oct 2002 (41),LR Vicenza Virtus (6),1-3,0-1,Palermo (6)
?,(Sat) 26 Oct 2002 (42),Ascoli (7),2-0,1-0,Ternana (7)
?,(Sat) 26 Oct 2002 (42),Bari (7),1-1,1-0,UC Sampdoria (7)
?,(Sat) 26 Oct 2002 (42),Cosenza Calcio (7),0-0,0-0,SS Robur Siena (7)
?,(Sat) 26 Oct 2002 (42),Genoa CFC (7),0-0,0-0,US Lecce (7)
?,(Sat) 26 Oct 2002 (42),AS Livorno Calcio (7),2-1,2-0,Venezia (7)
?,(Sat) 26 Oct 2002 (42),ACR Messina SSD (7),2-1,2-0,Hellas Verona FC (7)
?,(Sat) 26 Oct 2002 (42),Palermo (7),1-1,1-0,Cagliari Calcio (7)
?,(Sat) 26 Oct 2002 (42),US Triestina Calcio (7),4-0,2-0,Calcio Catania (7)
?,(Mon) 28 Oct 2002 (43),Salernitana (7),0-2,0-0,US Anconitana ASD (7)
?,(Mon) 28 Oct 2002 (43),LR Vicenza Virtus (7),3-3,1-2,SSC Napoli (7)
?,(Fri) 1 Nov 2002 (43),Cagliari Calcio (8),1-1,1-0,US Lecce (8)
?,(Fri) 1 Nov 2002 (43),AS Livorno Calcio (8),2-0,0-0,Genoa CFC (8)
?,(Sat) 2 Nov 2002 (43),US Anconitana ASD (8),2-1,2-1,ACR Messina SSD (8)
?,(Sat) 2 Nov 2002 (43),Bari (8),0-1,0-1,Palermo (8)
?,(Sat) 2 Nov 2002 (43),Calcio Catania (8),1-1,0-0,Ascoli (8)
?,(Sat) 2 Nov 2002 (43),SSC Napoli (8),1-2,1-0,SS Robur Siena (8)
?,(Sat) 2 Nov 2002 (43),UC Sampdoria (8),1-1,1-1,US Triestina Calcio (8)
?,(Sat) 2 Nov 2002 (43),Ternana (8),1-0,1-0,Cosenza Calcio (8)
?,(Sat) 2 Nov 2002 (43),Venezia (8),1-0,0-0,Salernitana (8)
?,(Sat) 2 Nov 2002 (43),Hellas Verona FC (8),4-2,3-1,LR Vicenza Virtus (8)
?,(Tue) 5 Nov 2002 (44),US Anconitana ASD (9),1-1,1-0,Hellas Verona FC (9)
?,(Tue) 5 Nov 2002 (44),Bari (9),0-0,0-0,US Triestina Calcio (9)
?,(Tue) 5 Nov 2002 (44),Cagliari Calcio (9),1-0,0-0,Venezia (9)
?,(Tue) 5 Nov 2002 (44),Calcio Catania (9),0-2,0-1,SSC Napoli (9)
?,(Tue) 5 Nov 2002 (44),Cosenza Calcio (9),1-2,0-1,Palermo (9)
?,(Tue) 5 Nov 2002 (44),Salernitana (9),1-2,1-1,Ascoli (9)
?,(Tue) 5 Nov 2002 (44),SS Robur Siena (9),0-0,0-0,US Lecce (9)
?,(Tue) 5 Nov 2002 (44),Ternana (9),1-0,1-0,ACR Messina SSD (9)
?,(Tue) 5 Nov 2002 (44),LR Vicenza Virtus (9),1-0,1-0,Genoa CFC (9)
?,(Thu) 7 Nov 2002 (44),UC Sampdoria (9),2-0,1-0,AS Livorno Calcio (9)
?,(Sat) 9 Nov 2002 (44),LR Vicenza Virtus (10),1-1,1-1,Bari (10)
?,(Sun) 10 Nov 2002 (44),Ascoli (10),0-0,0-0,Hellas Verona FC (10)
?,(Sun) 10 Nov 2002 (44),Cosenza Calcio (10),1-1,1-0,Cagliari Calcio (10)
?,(Sun) 10 Nov 2002 (44),Genoa CFC (10),3-1,1-1,SSC Napoli (10)
?,(Sun) 10 Nov 2002 (44),US Lecce (10),0-0,0-0,Ternana (10)
?,(Sun) 10 Nov 2002 (44),ACR Messina SSD (10),2-1,1-0,AS Livorno Calcio (10)
?,(Sun) 10 Nov 2002 (44),Palermo (10),0-2,0-0,Venezia (10)
?,(Sun) 10 Nov 2002 (44),Salernitana (10),0-1,0-1,UC Sampdoria (10)
?,(Sun) 10 Nov 2002 (44),US Triestina Calcio (10),3-2,2-1,US Anconitana ASD (10)
?,(Mon) 11 Nov 2002 (45),SS Robur Siena (10),4-3,2-2,Calcio Catania (10)
?,(Fri) 15 Nov 2002 (45),UC Sampdoria (11),2-1,2-0,Genoa CFC (11)
?,(Sun) 17 Nov 2002 (45),US Anconitana ASD (11),1-0,0-0,Cosenza Calcio (11)
?,(Sun) 17 Nov 2002 (45),Bari (11),1-1,0-1,Salernitana (11)
?,(Sun) 17 Nov 2002 (45),AS Livorno Calcio (11),2-0,1-0,Ascoli (11)
?,(Sun) 17 Nov 2002 (45),SSC Napoli (11),1-1,1-1,US Lecce (11)
?,(Sun) 17 Nov 2002 (45),Ternana (11),1-1,0-0,SS Robur Siena (11)
?,(Sun) 17 Nov 2002 (45),Venezia (11),1-2,0-0,LR Vicenza Virtus (11)
?,(Sun) 17 Nov 2002 (45),Hellas Verona FC (11),1-0,1-0,US Triestina Calcio (11)
?,(Mon) 18 Nov 2002 (46),Calcio Catania (11),2-0,1-0,Palermo (11)
?,(Fri) 22 Nov 2002 (46),Ascoli (12),1-0,1-0,US Anconitana ASD (12)
?,(Sun) 24 Nov 2002 (46),Cosenza Calcio (12),1-2,0-2,Venezia (12)
?,(Sun) 24 Nov 2002 (46),US Lecce (12),1-0,0-0,AS Livorno Calcio (12)
?,(Sun) 24 Nov 2002 (46),ACR Messina SSD (11),2-2,0-1,Bari (12)
?,(Sun) 24 Nov 2002 (46),Palermo (12),2-1,1-0,Ternana (12)
?,(Sun) 24 Nov 2002 (46),Salernitana (12),2-0,2-0,SSC Napoli (12)
?,(Sun) 24 Nov 2002 (46),SS Robur Siena (12),1-0,0-0,UC Sampdoria (12)
?,(Sun) 24 Nov 2002 (46),US Triestina Calcio (12),3-0,2-0,Cagliari Calcio (11)
?,(Sun) 24 Nov 2002 (46),LR Vicenza Virtus (12),2-1,1-0,Calcio Catania (12)
?,(Mon) 25 Nov 2002 (47),Genoa CFC (12),2-2,1-2,Hellas Verona FC (12)
?,(Wed) 27 Nov 2002 (47),Cagliari Calcio (12),0-2,?,ACR Messina SSD (12)
?,(Fri) 29 Nov 2002 (47),SSC Napoli (13),0-0,0-0,Palermo (13)
?,(Sun) 1 Dec 2002 (47),Ascoli (13),1-1,1-0,Genoa CFC (13)
?,(Sun) 1 Dec 2002 (47),Bari (13),0-0,0-0,US Anconitana ASD (13)
?,(Sun) 1 Dec 2002 (47),Cagliari Calcio (13),2-0,0-0,Salernitana (13)
?,(Sun) 1 Dec 2002 (47),Calcio Catania (13),0-2,0-1,Cosenza Calcio (13)
?,(Sun) 1 Dec 2002 (47),UC Sampdoria (13),0-0,0-0,LR Vicenza Virtus (13)
?,(Sun) 1 Dec 2002 (47),Ternana (13),1-2,1-1,US Triestina Calcio (13)
?,(Sun) 1 Dec 2002 (47),Venezia (13),0-2,0-1,ACR Messina SSD (13)
?,(Sun) 1 Dec 2002 (47),Hellas Verona FC (13),1-1,0-0,US Lecce (13)
?,(Mon) 2 Dec 2002 (48),AS Livorno Calcio (13),1-1,0-0,SS Robur Siena (13)
?,(Fri) 6 Dec 2002 (48),Cosenza Calcio (14),3-3,2-3,ACR Messina SSD (14)
?,(Sun) 8 Dec 2002 (48),US Anconitana ASD (14),2-1,1-0,Cagliari Calcio (14)
?,(Sun) 8 Dec 2002 (48),Calcio Catania (14),1-0,1-0,Bari (14)
?,(Sun) 8 Dec 2002 (48),US Lecce (14),2-1,1-1,Ascoli (14)
?,(Sun) 8 Dec 2002 (48),Palermo (14),0-0,0-0,Genoa CFC (14)
?,(Sun) 8 Dec 2002 (48),Salernitana (14),1-3,1-1,Hellas Verona FC (14)
?,(Sun) 8 Dec 2002 (48),UC Sampdoria (14),1-2,1-1,Ternana (14)
?,(Sun) 8 Dec 2002 (48),SS Robur Siena (14),0-0,0-0,Venezia (14)
?,(Sun) 8 Dec 2002 (48),LR Vicenza Virtus (14),0-0,0-0,AS Livorno Calcio (14)
?,(Mon) 9 Dec 2002 (49),US Triestina Calcio (14),2-1,1-0,SSC Napoli (14)
?,(Fri) 13 Dec 2002 (49),Cagliari Calcio (15),1-0,0-0,UC Sampdoria (15)
?,(Sun) 15 Dec 2002 (49),Ascoli (15),4-0,3-0,SSC Napoli (15)
?,(Sun) 15 Dec 2002 (49),Genoa CFC (15),4-2,1-1,US Anconitana ASD (15)
