Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 20 Aug 2010 (W33),Atalanta BC (1),2-0,2-0,LR Vicenza Virtus (1)
?,(Sun) 22 Aug 2010 (W33),Frosinone (1),2-3,1-1,Empoli (1)
?,(Sun) 22 Aug 2010 (W33),ASD US Grosseto (1),0-0,0-0,Ascoli (1)
?,(Sun) 22 Aug 2010 (W33),AS Livorno Calcio (1),0-4,0-3,US Sassuolo Calcio (1)
?,(Sun) 22 Aug 2010 (W33),Modena FC (1),1-0,0-0,Piacenza Calcio (1)
?,(Sun) 22 Aug 2010 (W33),Calcio Padova (1),1-1,1-1,Novara (1)
?,(Sun) 22 Aug 2010 (W33),Pescara (1),1-1,0-1,SS Robur Siena (1)
?,(Sun) 22 Aug 2010 (W33),Portogruaro Calcio ASD (1),2-0,1-0,Cittadella (1)
?,(Sun) 22 Aug 2010 (W33),Urbs Reggina (1),0-0,0-0,FC Crotone (1)
?,(Sun) 22 Aug 2010 (W33),US Triestina Calcio (1),1-1,0-0,Unione Calcio Albinoleffe (1)
?,(Mon) 23 Aug 2010 (W34),Torino FC (1),1-2,1-2,Varese Calcio (1)
?,(Thu) 26 Aug 2010 (W34),Novara (2),2-0,0-0,US Triestina Calcio (2)
?,(Sat) 28 Aug 2010 (W34),Unione Calcio Albinoleffe (2),0-3,0-1,AS Livorno Calcio (2)
?,(Sat) 28 Aug 2010 (W34),Ascoli (2),1-1,1-1,Modena FC (2)
?,(Sat) 28 Aug 2010 (W34),Cittadella (2),2-1,2-1,Torino FC (2)
?,(Sat) 28 Aug 2010 (W34),FC Crotone (2),1-1,1-0,Calcio Padova (2)
?,(Sat) 28 Aug 2010 (W34),Piacenza Calcio (2),1-1,1-1,Frosinone (2)
?,(Sat) 28 Aug 2010 (W34),US Sassuolo Calcio (2),1-1,0-1,ASD US Grosseto (2)
?,(Sat) 28 Aug 2010 (W34),SS Robur Siena (2),2-1,1-1,Urbs Reggina (2)
?,(Sat) 28 Aug 2010 (W34),Varese Calcio (2),0-0,0-0,Atalanta BC (2)
?,(Sat) 28 Aug 2010 (W34),LR Vicenza Virtus (2),4-1,2-1,Portogruaro Calcio ASD (2)
?,(Mon) 30 Aug 2010 (W35),Empoli (2),0-0,0-0,Pescara (2)
?,(Sat) 4 Sep 2010 (W35),Torino FC (3),1-1,0-0,FC Crotone (3)
