Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Sep 2004 (W37),Torino FC (1),3-1,3-0,Hellas Verona FC (1)
?,(Sat) 11 Sep 2004 (W37),SS Arezzo (1),3-1,3-1,Calcio Catania (1)
?,(Sat) 11 Sep 2004 (W37),US Catanzaro (1),2-1,1-1,Bari (1)
?,(Sat) 11 Sep 2004 (W37),Cesena (1),1-0,1-0,US Triestina Calcio (1)
?,(Sat) 11 Sep 2004 (W37),Empoli (1),2-1,1-1,Ascoli (1)
?,(Sat) 11 Sep 2004 (W37),Perugia (1),2-1,2-0,FC Crotone (1)
?,(Sat) 11 Sep 2004 (W37),Pescara (1),1-2,0-1,Piacenza Calcio (1)
?,(Sat) 11 Sep 2004 (W37),Salernitana (1),0-0,0-0,ACD Treviso (1)
?,(Sat) 11 Sep 2004 (W37),Venezia (1),0-2,0-2,Unione Calcio Albinoleffe (1)
?,(Sat) 11 Sep 2004 (W37),LR Vicenza Virtus (1),1-0,0-0,Ternana (1)
?,(Mon) 13 Sep 2004 (W38),Modena FC (1),1-1,0-0,Genoa CFC (1)
?,(Fri) 17 Sep 2004 (W38),Calcio Catania (2),1-0,1-0,LR Vicenza Virtus (2)
?,(Fri) 17 Sep 2004 (W38),Piacenza Calcio (2),2-1,0-0,Venezia (2)
?,(Sat) 18 Sep 2004 (W38),Unione Calcio Albinoleffe (2),2-0,2-0,Modena FC (2)
?,(Sat) 18 Sep 2004 (W38),Ascoli (2),0-3,0-1,Torino FC (2)
?,(Sat) 18 Sep 2004 (W38),Bari (2),1-1,1-1,Perugia (2)
?,(Sat) 18 Sep 2004 (W38),FC Crotone (2),0-1,0-0,Cesena (2)
?,(Sat) 18 Sep 2004 (W38),Genoa CFC (2),2-0,1-0,Pescara (2)
?,(Sat) 18 Sep 2004 (W38),Ternana (2),1-1,1-0,Salernitana (2)
?,(Sat) 18 Sep 2004 (W38),ACD Treviso (2),1-4,0-1,SS Arezzo (2)
?,(Sat) 18 Sep 2004 (W38),US Triestina Calcio (2),1-0,1-0,US Catanzaro (2)
?,(Sat) 18 Sep 2004 (W38),Hellas Verona FC (2),0-1,0-1,Empoli (2)
?,(Tue) 21 Sep 2004 (W39),SS Arezzo (3),0-0,0-0,Ascoli (3)
?,(Tue) 21 Sep 2004 (W39),US Catanzaro (3),2-3,1-1,Calcio Catania (3)
?,(Tue) 21 Sep 2004 (W39),Cesena (3),1-1,1-0,Bari (3)
?,(Tue) 21 Sep 2004 (W39),Empoli (3),1-1,1-0,Ternana (3)
?,(Tue) 21 Sep 2004 (W39),Modena FC (3),1-0,0-0,Piacenza Calcio (3)
?,(Tue) 21 Sep 2004 (W39),Perugia (3),2-0,1-0,ACD Treviso (3)
?,(Tue) 21 Sep 2004 (W39),Pescara (3),1-3,0-1,Unione Calcio Albinoleffe (3)
?,(Tue) 21 Sep 2004 (W39),Torino FC (3),2-1,0-0,Genoa CFC (3)
?,(Tue) 21 Sep 2004 (W39),Venezia (3),3-2,0-2,Hellas Verona FC (3)
?,(Tue) 21 Sep 2004 (W39),LR Vicenza Virtus (3),3-2,1-1,FC Crotone (3)
?,(Wed) 22 Sep 2004 (W39),Salernitana (3),3-3,1-3,US Triestina Calcio (3)
?,(Fri) 24 Sep 2004 (W39),Ascoli (4),1-0,1-0,US Catanzaro (4)
?,(Sat) 25 Sep 2004 (W39),Unione Calcio Albinoleffe (4),2-1,1-0,LR Vicenza Virtus (4)
?,(Sat) 25 Sep 2004 (W39),Bari (4),0-1,0-0,Torino FC (4)
?,(Sat) 25 Sep 2004 (W39),Calcio Catania (4),0-0,0-0,Perugia (4)
?,(Sat) 25 Sep 2004 (W39),FC Crotone (4),1-0,0-0,Modena FC (4)
?,(Sat) 25 Sep 2004 (W39),Genoa CFC (4),5-0,2-0,Salernitana (4)
?,(Sat) 25 Sep 2004 (W39),Piacenza Calcio (4),2-1,0-0,Cesena (4)
?,(Sat) 25 Sep 2004 (W39),Ternana (4),2-0,1-0,Venezia (4)
?,(Sat) 25 Sep 2004 (W39),ACD Treviso (4),1-1,1-1,Pescara (4)
?,(Sat) 25 Sep 2004 (W39),US Triestina Calcio (4),3-4,2-2,Empoli (4)
?,(Mon) 27 Sep 2004 (W40),Hellas Verona FC (4),5-3,2-3,SS Arezzo (4)
?,(Fri) 1 Oct 2004 (W40),Perugia (5),2-2,0-1,Genoa CFC (5)
?,(Fri) 1 Oct 2004 (W40),LR Vicenza Virtus (5),4-2,0-1,Piacenza Calcio (5)
?,(Sat) 2 Oct 2004 (W40),SS Arezzo (5),1-2,1-2,US Triestina Calcio (5)
?,(Sat) 2 Oct 2004 (W40),Ascoli (5),2-1,1-0,ACD Treviso (5)
?,(Sat) 2 Oct 2004 (W40),Bari (5),1-1,0-1,Unione Calcio Albinoleffe (5)
?,(Sat) 2 Oct 2004 (W40),US Catanzaro (5),2-2,2-0,FC Crotone (5)
?,(Sat) 2 Oct 2004 (W40),Cesena (5),0-1,0-0,Hellas Verona FC (5)
?,(Sat) 2 Oct 2004 (W40),Empoli (5),3-0,1-0,Salernitana (5)
?,(Sat) 2 Oct 2004 (W40),Modena FC (5),4-0,1-0,Ternana (5)
?,(Sat) 2 Oct 2004 (W40),Torino FC (5),2-1,0-0,Calcio Catania (5)
?,(Sat) 2 Oct 2004 (W40),Venezia (5),1-1,0-0,Pescara (5)
?,(Wed) 6 Oct 2004 (W41),Unione Calcio Albinoleffe (6),1-1,1-0,US Catanzaro (6)
