Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Sep 2004 (36),Torino FC (1),3-1,3-0,Hellas Verona FC (1)
?,(Sat) 11 Sep 2004 (36),SS Arezzo (1),3-1,3-1,Calcio Catania (1)
?,(Sat) 11 Sep 2004 (36),US Catanzaro (1),2-1,1-1,Bari (1)
?,(Sat) 11 Sep 2004 (36),Cesena (1),1-0,1-0,US Triestina Calcio (1)
?,(Sat) 11 Sep 2004 (36),Empoli (1),2-1,1-1,Ascoli (1)
?,(Sat) 11 Sep 2004 (36),Perugia (1),2-1,2-0,FC Crotone (1)
?,(Sat) 11 Sep 2004 (36),Pescara (1),1-2,0-1,Piacenza Calcio (1)
?,(Sat) 11 Sep 2004 (36),Salernitana (1),0-0,0-0,ACD Treviso (1)
?,(Sat) 11 Sep 2004 (36),Venezia (1),0-2,0-2,Unione Calcio Albinoleffe (1)
?,(Sat) 11 Sep 2004 (36),LR Vicenza Virtus (1),1-0,0-0,Ternana (1)
?,(Mon) 13 Sep 2004 (37),Modena FC (1),1-1,0-0,Genoa CFC (1)
?,(Fri) 17 Sep 2004 (37),Calcio Catania (2),1-0,1-0,LR Vicenza Virtus (2)
?,(Fri) 17 Sep 2004 (37),Piacenza Calcio (2),2-1,0-0,Venezia (2)
?,(Sat) 18 Sep 2004 (37),Unione Calcio Albinoleffe (2),2-0,2-0,Modena FC (2)
?,(Sat) 18 Sep 2004 (37),Ascoli (2),0-3,0-1,Torino FC (2)
?,(Sat) 18 Sep 2004 (37),Bari (2),1-1,1-1,Perugia (2)
?,(Sat) 18 Sep 2004 (37),FC Crotone (2),0-1,0-0,Cesena (2)
?,(Sat) 18 Sep 2004 (37),Genoa CFC (2),2-0,1-0,Pescara (2)
?,(Sat) 18 Sep 2004 (37),Ternana (2),1-1,1-0,Salernitana (2)
?,(Sat) 18 Sep 2004 (37),ACD Treviso (2),1-4,0-1,SS Arezzo (2)
?,(Sat) 18 Sep 2004 (37),US Triestina Calcio (2),1-0,1-0,US Catanzaro (2)
?,(Sat) 18 Sep 2004 (37),Hellas Verona FC (2),0-1,0-1,Empoli (2)
?,(Tue) 21 Sep 2004 (38),SS Arezzo (3),0-0,0-0,Ascoli (3)
?,(Tue) 21 Sep 2004 (38),US Catanzaro (3),2-3,1-1,Calcio Catania (3)
