Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 25 Aug 2001 (34),Bologna (1),1-0,1-0,Atalanta (1)
?,(Sun) 26 Aug 2001 (34),Brescia (1),2-2,2-0,Milan (1)
?,(Sun) 26 Aug 2001 (34),Fiorentina (1),0-2,0-1,Chievo (1)
?,(Sun) 26 Aug 2001 (34),Inter (1),4-1,2-0,Perugia (1)
?,(Sun) 26 Aug 2001 (34),Juventus (1),4-0,3-0,Venezia (1)
?,(Sun) 26 Aug 2001 (34),Lazio (1),1-1,0-0,Piacenza (1)
?,(Sun) 26 Aug 2001 (34),Lecce (1),1-1,1-0,Parma (1)
?,(Sun) 26 Aug 2001 (34),Udinese (1),2-2,0-2,Torino (1)
?,(Sun) 26 Aug 2001 (34),Verona (1),1-1,0-1,Roma (1)
?,(Sat) 8 Sep 2001 (36),Perugia (2),0-0,0-0,Lazio (2)
?,(Sat) 8 Sep 2001 (36),Roma (2),1-1,0-0,Udinese (2)
?,(Sun) 9 Sep 2001 (36),Atalanta (2),0-2,0-1,Juventus (2)
?,(Sun) 9 Sep 2001 (36),Chievo (2),2-0,1-0,Bologna (2)
?,(Sun) 9 Sep 2001 (36),Milan (2),5-2,3-1,Fiorentina (2)
?,(Sun) 9 Sep 2001 (36),Parma (2),2-2,1-2,Inter (2)
?,(Sun) 9 Sep 2001 (36),Piacenza (2),1-2,1-0,Lecce (2)
?,(Sun) 9 Sep 2001 (36),Torino (2),1-3,1-1,Brescia (2)
?,(Sun) 9 Sep 2001 (36),Venezia (2),0-1,0-0,Verona (2)
?,(Sat) 15 Sep 2001 (37),Juventus (3),3-2,2-2,Chievo (3)
?,(Sun) 16 Sep 2001 (37),Bologna (3),1-0,0-0,Parma (3)
?,(Sun) 16 Sep 2001 (37),Brescia (3),1-1,0-1,Lecce (3)
?,(Sun) 16 Sep 2001 (37),Fiorentina (3),3-1,2-1,Atalanta (3)
?,(Sun) 16 Sep 2001 (37),Inter (3),2-1,0-0,Venezia (3)
?,(Sun) 16 Sep 2001 (37),Lazio (3),0-0,0-0,Torino (3)
?,(Sun) 16 Sep 2001 (37),Piacenza (3),2-0,1-0,Roma (3)
?,(Sun) 16 Sep 2001 (37),Udinese (3),1-2,0-1,Milan (3)
?,(Sun) 16 Sep 2001 (37),Verona (3),1-1,0-1,Perugia (3)
?,(Sat) 22 Sep 2001 (38),Lecce (4),0-0,0-0,Juventus (4)
?,(Sun) 23 Sep 2001 (38),Atalanta (4),1-0,1-0,Verona (4)
?,(Sun) 23 Sep 2001 (38),Chievo (4),4-2,2-1,Piacenza (4)
?,(Sun) 23 Sep 2001 (38),Milan (4),2-0,1-0,Lazio (4)
?,(Sun) 23 Sep 2001 (38),Parma (4),1-0,0-0,Brescia (4)
?,(Sun) 23 Sep 2001 (38),Perugia (4),1-2,1-1,Udinese (4)
?,(Sun) 23 Sep 2001 (38),Roma (4),2-1,1-1,Fiorentina (4)
?,(Sun) 23 Sep 2001 (38),Torino (4),0-1,0-0,Inter (4)
?,(Sun) 23 Sep 2001 (38),Venezia (4),0-1,0-0,Bologna (4)
?,(Sat) 29 Sep 2001 (39),Juventus (5),0-2,0-1,Roma (5)
?,(Sun) 30 Sep 2001 (39),Brescia (5),3-3,1-3,Atalanta (5)
?,(Sun) 30 Sep 2001 (39),Fiorentina (5),3-1,1-0,Venezia (5)
?,(Sun) 30 Sep 2001 (39),Inter (5),1-0,1-0,Bologna (5)
?,(Sun) 30 Sep 2001 (39),Lazio (5),0-0,0-0,Parma (5)
?,(Sun) 30 Sep 2001 (39),Perugia (5),3-1,0-0,Milan (5)
?,(Sun) 30 Sep 2001 (39),Piacenza (5),3-1,2-0,Torino (5)
?,(Sun) 30 Sep 2001 (39),Udinese (5),1-2,1-2,Chievo (5)
?,(Sun) 30 Sep 2001 (39),Verona (5),2-1,1-1,Lecce (5)
?,(Sat) 13 Oct 2001 (41),Lazio (6),2-0,1-0,Atalanta (6)
?,(Sat) 13 Oct 2001 (41),Perugia (6),0-0,0-0,Roma (6)
?,(Sun) 14 Oct 2001 (41),Brescia (6),2-2,0-1,Chievo (6)
?,(Sun) 14 Oct 2001 (41),Juventus (6),3-3,3-0,Torino (6)
?,(Sun) 14 Oct 2001 (41),Lecce (6),4-1,2-1,Fiorentina (6)
?,(Sun) 14 Oct 2001 (41),Milan (6),1-1,1-0,Venezia (6)
?,(Sun) 14 Oct 2001 (41),Parma (6),2-2,1-0,Piacenza (6)
?,(Sun) 14 Oct 2001 (41),Udinese (6),1-1,0-0,Inter (6)
?,(Sun) 14 Oct 2001 (41),Verona (6),0-1,0-1,Bologna (6)
?,(Sat) 20 Oct 2001 (42),Bologna (7),0-0,0-0,Juventus (7)
?,(Sun) 21 Oct 2001 (42),Atalanta (7),1-5,0-1,Udinese (7)
?,(Sun) 21 Oct 2001 (42),Chievo (7),1-0,1-0,Parma (7)
?,(Sun) 21 Oct 2001 (42),Fiorentina (7),0-2,0-1,Verona (7)
?,(Sun) 21 Oct 2001 (42),Inter (7),2-4,1-0,Milan (7)
?,(Sun) 21 Oct 2001 (42),Piacenza (7),0-1,0-1,Brescia (7)
?,(Sun) 21 Oct 2001 (42),Roma (7),5-1,2-0,Lecce (7)
?,(Sun) 21 Oct 2001 (42),Torino (7),1-0,1-0,Perugia (7)
?,(Sun) 21 Oct 2001 (42),Venezia (7),0-0,0-0,Lazio (7)
?,(Sat) 27 Oct 2001 (43),Juventus (8),0-0,0-0,Inter (8)
?,(Sat) 27 Oct 2001 (43),Roma (8),2-0,0-0,Lazio (8)
?,(Sun) 28 Oct 2001 (43),Brescia (8),3-2,0-0,Venezia (8)
?,(Sun) 28 Oct 2001 (43),Chievo (8),3-0,1-0,Torino (8)
?,(Sun) 28 Oct 2001 (43),Lecce (8),0-2,0-1,Atalanta (8)
?,(Sun) 28 Oct 2001 (43),Milan (8),0-0,0-0,Bologna (8)
?,(Sun) 28 Oct 2001 (43),Parma (8),2-2,1-2,Verona (8)
?,(Sun) 28 Oct 2001 (43),Perugia (8),1-0,0-0,Piacenza (8)
?,(Sun) 28 Oct 2001 (43),Udinese (8),1-2,1-0,Fiorentina (8)
?,(Sat) 3 Nov 2001 (44),Venezia (9),0-0,0-0,Chievo (9)
?,(Sun) 4 Nov 2001 (44),Atalanta (9),1-1,0-0,Roma (9)
?,(Sun) 4 Nov 2001 (44),Bologna (9),3-2,3-2,Fiorentina (9)
?,(Sun) 4 Nov 2001 (44),Inter (9),2-0,2-0,Lecce (9)
?,(Sun) 4 Nov 2001 (44),Lazio (9),5-0,3-0,Brescia (9)
?,(Sun) 4 Nov 2001 (44),Parma (9),2-1,1-0,Perugia (9)
?,(Sun) 4 Nov 2001 (44),Piacenza (9),1-2,0-1,Udinese (9)
?,(Sun) 4 Nov 2001 (44),Torino (9),1-0,1-0,Milan (9)
?,(Sun) 4 Nov 2001 (44),Verona (9),2-2,1-0,Juventus (9)
?,(Sat) 17 Nov 2001 (46),Roma (10),0-0,0-0,Inter (10)
?,(Sun) 18 Nov 2001 (46),Atalanta (10),1-0,1-0,Venezia (10)
?,(Sun) 18 Nov 2001 (46),Fiorentina (10),0-0,0-0,Torino (10)
?,(Sun) 18 Nov 2001 (46),Juventus (10),3-1,1-1,Parma (10)
?,(Sun) 18 Nov 2001 (46),Lecce (10),1-0,1-0,Bologna (10)
