Date,Team 1,Team 2,FT,HT
2001-08-24,Genoa,Napoli,0-2,0-0
2001-08-26,Ancona,Reggina,1-0,1-0
2001-08-26,Cagliari,Messina,0-0,0-0
2001-08-26,Como,Crotone,1-1,0-0
2001-08-26,Cosenza,Cittadella,2-1,0-0
2001-08-26,Empoli,Palermo,5-3,2-0
2001-08-26,Modena,Bari,2-0,1-0
2001-08-26,Salernitana,Sampdoria,2-0,0-0
2001-08-26,Ternana,Siena,3-0,1-0
2001-08-26,Vicenza,Pistoiese,1-1,0-0
2001-09-02,Bari,Empoli,2-2,1-1
2001-09-02,Cittadella,Salernitana,4-4,3-2
2001-09-02,Crotone,Modena,1-2,0-0
2001-09-02,Messina,Ternana,1-1,0-0
2001-09-02,Napoli,Ancona,1-2,1-1
2001-09-02,Pistoiese,Genoa,0-1,0-0
2001-09-02,Reggina,Como,4-1,1-0
2001-09-02,Sampdoria,Cosenza,1-1,1-1
2001-09-02,Siena,Vicenza,2-4,2-1
2001-09-03,Palermo,Cagliari,0-0,0-0
2001-09-09,Ancona,Siena,0-0,0-0
2001-09-09,Cagliari,Bari,1-2,1-2
2001-09-09,Cosenza,Ternana,2-2,2-0
2001-09-09,Empoli,Messina,2-0,0-0
2001-09-09,Genoa,Como,2-1,1-1
2001-09-09,Palermo,Pistoiese,1-0,1-0
2001-09-09,Salernitana,Crotone,0-0,0-0
2001-09-09,Vicenza,Cittadella,2-1,1-0
2001-09-10,Modena,Napoli,4-1,2-1
2001-09-10,Reggina,Sampdoria,2-0,1-0
2001-09-16,Como,Salernitana,1-0,1-0
2001-09-16,Crotone,Cagliari,4-2,2-1
2001-09-16,Messina,Ancona,1-1,0-0
2001-09-16,Pistoiese,Cosenza,0-1,0-1
2001-09-16,Sampdoria,Empoli,0-2,0-2
2001-09-16,Siena,Genoa,0-1,0-1
2001-09-16,Ternana,Modena,0-0,0-0
2001-09-17,Bari,Palermo,2-0,1-0
2001-09-17,Cittadella,Reggina,0-2,0-0
2001-09-23,Ancona,Crotone,1-0,1-0
2001-09-23,Cosenza,Como,1-4,0-0
2001-09-23,Empoli,Napoli,1-0,0-0
2001-09-23,Genoa,Messina,3-0,3-0
2001-09-23,Modena,Siena,2-2,1-2
2001-09-23,Palermo,Cittadella,3-1,1-0
2001-09-23,Reggina,Bari,0-0,0-0
2001-09-23,Salernitana,Pistoiese,2-1,1-0
2001-09-23,Vicenza,Ternana,1-1,0-0
2001-09-24,Cagliari,Sampdoria,0-2,0-0
2001-09-28,Ternana,Genoa,0-0,0-0
2001-09-30,Bari,Crotone,0-2,0-1
2001-09-30,Cittadella,Empoli,2-1,1-0
2001-09-30,Como,Ancona,1-0,1-0
2001-09-30,Cosenza,Reggina,0-1,0-0
