Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 20 Aug 2016 (33),Juventus (1),2-1,1-0,Fiorentina (1)
?,(Sat) 20 Aug 2016 (33),Roma (1),4-0,0-0,Udinese (1)
?,(Sun) 21 Aug 2016 (33),Atalanta (1),3-4,0-3,Lazio (1)
?,(Sun) 21 Aug 2016 (33),Bologna (1),1-0,0-0,Crotone (1)
?,(Sun) 21 Aug 2016 (33),Chievo (1),2-0,0-0,Inter (1)
?,(Sun) 21 Aug 2016 (33),Empoli (1),0-1,0-1,Sampdoria (1)
?,(Sun) 21 Aug 2016 (33),Genoa (1),3-1,0-0,Cagliari (1)
?,(Sun) 21 Aug 2016 (33),Milan (1),3-2,1-0,Torino (1)
?,(Sun) 21 Aug 2016 (33),Palermo (1),0-1,0-1,Sassuolo (1)
?,(Sun) 21 Aug 2016 (33),Pescara (1),2-2,2-0,Napoli (1)
?,(Sat) 27 Aug 2016 (34),Lazio (2),0-1,0-0,Juventus (2)
?,(Sat) 27 Aug 2016 (34),Napoli (2),4-2,2-0,Milan (2)
?,(Sun) 28 Aug 2016 (34),Cagliari (2),2-2,0-1,Roma (2)
?,(Sun) 28 Aug 2016 (34),Crotone (2),1-3,1-0,Genoa (2)
?,(Sun) 28 Aug 2016 (34),Fiorentina (2),1-0,1-0,Chievo (2)
?,(Sun) 28 Aug 2016 (34),Inter (2),1-1,0-0,Palermo (2)
?,(Sun) 28 Aug 2016 (34),Sampdoria (2),2-1,2-1,Atalanta (2)
?,(Sun) 28 Aug 2016 (34),Sassuolo (2),0-3,?,Pescara (2)
?,(Sun) 28 Aug 2016 (34),Torino (2),5-1,2-1,Bologna (2)
?,(Sun) 28 Aug 2016 (34),Udinese (2),2-0,1-0,Empoli (2)
?,(Sat) 10 Sep 2016 (36),Juventus (3),3-1,3-1,Sassuolo (3)
?,(Sat) 10 Sep 2016 (36),Palermo (3),0-3,0-0,Napoli (3)
?,(Sun) 11 Sep 2016 (36),Atalanta (3),2-1,0-0,Torino (3)
?,(Sun) 11 Sep 2016 (36),Bologna (3),2-1,1-0,Cagliari (3)
?,(Sun) 11 Sep 2016 (36),Chievo (3),1-1,0-0,Lazio (3)
?,(Sun) 11 Sep 2016 (36),Milan (3),0-1,0-0,Udinese (3)
?,(Sun) 11 Sep 2016 (36),Pescara (3),1-2,0-0,Inter (3)
?,(Sun) 11 Sep 2016 (36),Roma (3),3-2,1-2,Sampdoria (3)
?,(Mon) 12 Sep 2016 (37),Empoli (3),2-1,1-1,Crotone (3)
?,(Fri) 16 Sep 2016 (37),Sampdoria (4),0-1,0-0,Milan (4)
?,(Sat) 17 Sep 2016 (37),Lazio (4),3-0,0-0,Pescara (4)
?,(Sat) 17 Sep 2016 (37),Napoli (4),3-1,1-0,Bologna (4)
?,(Sun) 18 Sep 2016 (37),Cagliari (4),3-0,1-0,Atalanta (4)
?,(Sun) 18 Sep 2016 (37),Crotone (4),1-1,1-0,Palermo (4)
?,(Sun) 18 Sep 2016 (37),Fiorentina (3),1-0,0-0,Roma (4)
?,(Sun) 18 Sep 2016 (37),Inter (4),2-1,0-0,Juventus (4)
?,(Sun) 18 Sep 2016 (37),Sassuolo (4),2-0,0-0,Genoa (3)
?,(Sun) 18 Sep 2016 (37),Torino (4),0-0,0-0,Empoli (4)
?,(Sun) 18 Sep 2016 (37),Udinese (4),1-2,1-0,Chievo (4)
?,(Tue) 20 Sep 2016 (38),Milan (5),2-0,1-0,Lazio (5)
?,(Wed) 21 Sep 2016 (38),Atalanta (5),0-1,0-0,Palermo (5)
?,(Wed) 21 Sep 2016 (38),Bologna (5),2-0,1-0,Sampdoria (5)
?,(Wed) 21 Sep 2016 (38),Chievo (5),2-1,2-1,Sassuolo (5)
?,(Wed) 21 Sep 2016 (38),Empoli (5),0-2,0-2,Inter (5)
?,(Wed) 21 Sep 2016 (38),Genoa (4),0-0,0-0,Napoli (5)
?,(Wed) 21 Sep 2016 (38),Juventus (5),4-0,3-0,Cagliari (5)
?,(Wed) 21 Sep 2016 (38),Pescara (5),0-0,0-0,Torino (5)
?,(Wed) 21 Sep 2016 (38),Roma (5),4-0,2-0,Crotone (5)
?,(Wed) 21 Sep 2016 (38),Udinese (5),2-2,2-1,Fiorentina (4)
?,(Sat) 24 Sep 2016 (38),Napoli (6),2-0,2-0,Chievo (6)
?,(Sat) 24 Sep 2016 (38),Palermo (6),0-1,0-0,Juventus (6)
?,(Sun) 25 Sep 2016 (38),Fiorentina (5),0-0,0-0,Milan (6)
?,(Sun) 25 Sep 2016 (38),Genoa (5),1-1,0-0,Pescara (6)
?,(Sun) 25 Sep 2016 (38),Inter (6),1-1,1-1,Bologna (6)
