Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 30 Aug 2014 (34),Chievo (1),0-1,0-1,Juventus (1)
?,(Sat) 30 Aug 2014 (34),Roma (1),2-0,1-0,Fiorentina (1)
?,(Sun) 31 Aug 2014 (34),Atalanta (1),0-0,0-0,Verona (1)
?,(Sun) 31 Aug 2014 (34),Cesena (1),1-0,1-0,Parma (1)
?,(Sun) 31 Aug 2014 (34),Genoa (1),1-2,1-1,Napoli (1)
?,(Sun) 31 Aug 2014 (34),Milan (1),3-1,1-0,Lazio (1)
?,(Sun) 31 Aug 2014 (34),Palermo (1),1-1,1-0,Sampdoria (1)
?,(Sun) 31 Aug 2014 (34),Sassuolo (1),1-1,1-1,Cagliari (1)
?,(Sun) 31 Aug 2014 (34),Torino (1),0-0,0-0,Inter (1)
?,(Sun) 31 Aug 2014 (34),Udinese (1),2-0,0-0,Empoli (1)
?,(Sat) 13 Sep 2014 (36),Empoli (2),0-1,0-1,Roma (2)
?,(Sat) 13 Sep 2014 (36),Juventus (2),2-0,1-0,Udinese (2)
?,(Sun) 14 Sep 2014 (36),Cagliari (2),1-2,0-1,Atalanta (2)
?,(Sun) 14 Sep 2014 (36),Fiorentina (2),0-0,0-0,Genoa (2)
?,(Sun) 14 Sep 2014 (36),Inter (2),7-0,4-0,Sassuolo (2)
?,(Sun) 14 Sep 2014 (36),Lazio (2),3-0,1-0,Cesena (2)
?,(Sun) 14 Sep 2014 (36),Napoli (2),0-1,0-0,Chievo (2)
?,(Sun) 14 Sep 2014 (36),Parma (2),4-5,1-3,Milan (2)
?,(Sun) 14 Sep 2014 (36),Sampdoria (2),2-0,1-0,Torino (2)
?,(Mon) 15 Sep 2014 (37),Verona (2),2-1,1-1,Palermo (2)
?,(Sat) 20 Sep 2014 (37),Cesena (3),2-2,2-0,Empoli (3)
?,(Sat) 20 Sep 2014 (37),Milan (3),0-1,0-0,Juventus (3)
?,(Sun) 21 Sep 2014 (37),Atalanta (3),0-1,0-0,Fiorentina (3)
?,(Sun) 21 Sep 2014 (37),Chievo (3),2-3,1-0,Parma (3)
?,(Sun) 21 Sep 2014 (37),Genoa (3),1-0,0-0,Lazio (3)
?,(Sun) 21 Sep 2014 (37),Palermo (3),1-1,1-1,Inter (3)
?,(Sun) 21 Sep 2014 (37),Roma (3),2-0,2-0,Cagliari (3)
?,(Sun) 21 Sep 2014 (37),Sassuolo (3),0-0,0-0,Sampdoria (3)
?,(Sun) 21 Sep 2014 (37),Torino (3),0-1,0-0,Verona (3)
?,(Sun) 21 Sep 2014 (37),Udinese (3),1-0,0-0,Napoli (3)
?,(Tue) 23 Sep 2014 (38),Empoli (4),2-2,2-1,Milan (4)
?,(Wed) 24 Sep 2014 (38),Cagliari (4),1-2,1-2,Torino (4)
?,(Wed) 24 Sep 2014 (38),Fiorentina (4),0-0,0-0,Sassuolo (4)
?,(Wed) 24 Sep 2014 (38),Inter (4),2-0,1-0,Atalanta (4)
?,(Wed) 24 Sep 2014 (38),Juventus (4),3-0,1-0,Cesena (4)
?,(Wed) 24 Sep 2014 (38),Napoli (4),3-3,3-2,Palermo (4)
?,(Wed) 24 Sep 2014 (38),Parma (4),1-2,0-1,Roma (4)
?,(Wed) 24 Sep 2014 (38),Sampdoria (4),2-1,1-0,Chievo (4)
?,(Wed) 24 Sep 2014 (38),Verona (4),2-2,0-1,Genoa (4)
?,(Thu) 25 Sep 2014 (38),Lazio (4),0-1,0-1,Udinese (4)
?,(Sat) 27 Sep 2014 (38),Atalanta (5),0-3,0-1,Juventus (5)
?,(Sat) 27 Sep 2014 (38),Roma (5),2-0,0-0,Verona (5)
?,(Sun) 28 Sep 2014 (38),Cesena (5),1-1,1-1,Milan (5)
?,(Sun) 28 Sep 2014 (38),Chievo (5),1-1,0-0,Empoli (5)
?,(Sun) 28 Sep 2014 (38),Genoa (5),0-1,0-0,Sampdoria (5)
?,(Sun) 28 Sep 2014 (38),Inter (5),1-4,1-4,Cagliari (5)
?,(Sun) 28 Sep 2014 (38),Sassuolo (5),0-1,0-1,Napoli (5)
?,(Sun) 28 Sep 2014 (38),Torino (5),1-1,0-0,Fiorentina (5)
?,(Mon) 29 Sep 2014 (39),Palermo (5),0-4,0-1,Lazio (5)
?,(Mon) 29 Sep 2014 (39),Udinese (5),4-2,2-2,Parma (5)
?,(Sat) 4 Oct 2014 (39),Milan (6),2-0,0-0,Chievo (6)
?,(Sat) 4 Oct 2014 (39),Verona (6),1-0,0-0,Cagliari (6)
?,(Sun) 5 Oct 2014 (39),Empoli (6),3-0,2-0,Palermo (6)
?,(Sun) 5 Oct 2014 (39),Fiorentina (6),3-0,2-0,Inter (6)
?,(Sun) 5 Oct 2014 (39),Juventus (6),3-2,2-2,Roma (6)
?,(Sun) 5 Oct 2014 (39),Lazio (6),3-2,3-1,Sassuolo (6)
?,(Sun) 5 Oct 2014 (39),Napoli (6),2-1,0-1,Torino (6)
?,(Sun) 5 Oct 2014 (39),Parma (6),1-2,0-0,Genoa (6)
?,(Sun) 5 Oct 2014 (39),Sampdoria (6),1-0,1-0,Atalanta (6)
?,(Sun) 5 Oct 2014 (39),Udinese (6),1-1,0-0,Cesena (6)
?,(Sat) 18 Oct 2014 (41),Roma (7),3-0,3-0,Chievo (7)
?,(Sat) 18 Oct 2014 (41),Sassuolo (7),1-1,1-1,Juventus (7)
?,(Sun) 19 Oct 2014 (41),Atalanta (7),1-0,0-0,Parma (7)
?,(Sun) 19 Oct 2014 (41),Cagliari (7),2-2,0-2,Sampdoria (7)
?,(Sun) 19 Oct 2014 (41),Fiorentina (7),0-2,0-1,Lazio (7)
?,(Sun) 19 Oct 2014 (41),Inter (7),2-2,0-0,Napoli (7)
?,(Sun) 19 Oct 2014 (41),Palermo (7),2-1,1-0,Cesena (7)
?,(Sun) 19 Oct 2014 (41),Torino (7),1-0,0-0,Udinese (7)
?,(Sun) 19 Oct 2014 (41),Verona (7),1-3,0-2,Milan (7)
?,(Mon) 20 Oct 2014 (42),Genoa (7),1-1,1-0,Empoli (7)
?,(Sat) 25 Oct 2014 (42),Empoli (8),0-4,0-4,Cagliari (8)
