Round,Date,Team 1,FT,HT,Team 2
?,(Thu) 25 Aug 2011 (34),UC Sampdoria (1),2-2,0-1,Calcio Padova (1)
?,(Fri) 26 Aug 2011 (34),Hellas Verona FC (1),1-2,0-1,Pescara (1)
?,(Sat) 27 Aug 2011 (34),Ascoli (1),1-2,1-0,Torino FC (1)
?,(Sat) 27 Aug 2011 (34),Bari (1),0-0,0-0,Varese Calcio (1)
?,(Sat) 27 Aug 2011 (34),Brescia (1),2-0,1-0,LR Vicenza Virtus (1)
?,(Sat) 27 Aug 2011 (34),Cittadella (1),2-1,1-1,Unione Calcio Albinoleffe (1)
?,(Sat) 27 Aug 2011 (34),FC Crotone (1),1-2,1-1,AS Livorno Calcio (1)
?,(Sat) 27 Aug 2011 (34),Empoli (1),2-1,0-1,SS Juve Stabia (1)
?,(Sat) 27 Aug 2011 (34),ASD US Grosseto (1),2-0,2-0,AS Gubbio (1)
?,(Sat) 27 Aug 2011 (34),Urbs Reggina (1),4-1,2-0,Modena FC (1)
?,(Sat) 27 Aug 2011 (34),US Sassuolo Calcio (1),3-1,3-1,ASD Nocerina (1)
?,(Tue) 30 Aug 2011 (35),Unione Calcio Albinoleffe (2),2-2,1-2,ASD US Grosseto (2)
?,(Tue) 30 Aug 2011 (35),AS Gubbio (2),2-3,0-2,Ascoli (2)
?,(Tue) 30 Aug 2011 (35),AS Livorno Calcio (2),0-0,0-0,UC Sampdoria (2)
?,(Tue) 30 Aug 2011 (35),Modena FC (2),0-1,0-0,Bari (2)
?,(Tue) 30 Aug 2011 (35),ASD Nocerina (2),1-1,1-1,Brescia (2)
?,(Tue) 30 Aug 2011 (35),Calcio Padova (2),1-0,1-0,Urbs Reggina (2)
?,(Tue) 30 Aug 2011 (35),Pescara (2),3-2,2-1,Empoli (2)
?,(Tue) 30 Aug 2011 (35),Varese Calcio (2),0-0,0-0,FC Crotone (2)
?,(Tue) 30 Aug 2011 (35),LR Vicenza Virtus (2),0-1,0-1,US Sassuolo Calcio (2)
?,(Wed) 31 Aug 2011 (35),SS Juve Stabia (2),1-2,1-2,Hellas Verona FC (2)
?,(Wed) 31 Aug 2011 (35),Torino FC (2),1-1,0-0,Cittadella (2)
?,(Sat) 3 Sep 2011 (35),Urbs Reggina (3),1-1,1-0,ASD US Grosseto (3)
?,(Sun) 4 Sep 2011 (35),Ascoli (3),1-1,0-1,LR Vicenza Virtus (3)
?,(Sun) 4 Sep 2011 (35),Bari (3),2-3,1-0,Unione Calcio Albinoleffe (3)
?,(Sun) 4 Sep 2011 (35),Brescia (3),2-1,1-0,Empoli (3)
?,(Sun) 4 Sep 2011 (35),Cittadella (3),1-4,1-2,Calcio Padova (3)
?,(Sun) 4 Sep 2011 (35),FC Crotone (3),0-0,0-0,SS Juve Stabia (3)
?,(Sun) 4 Sep 2011 (35),AS Livorno Calcio (3),0-2,0-0,ASD Nocerina (3)
?,(Sun) 4 Sep 2011 (35),Modena FC (3),3-2,1-1,Pescara (3)
?,(Sun) 4 Sep 2011 (35),UC Sampdoria (3),6-0,3-0,AS Gubbio (3)
?,(Sun) 4 Sep 2011 (35),Torino FC (3),2-0,1-0,Varese Calcio (3)
?,(Sun) 4 Sep 2011 (35),Hellas Verona FC (3),1-0,0-0,US Sassuolo Calcio (3)
?,(Fri) 9 Sep 2011 (36),Calcio Padova (4),1-0,1-0,Bari (4)
