Date,Team 1,Team 2,FT,HT
2013-08-23,Reggina,Bari,0-0,0-0
2013-08-24,Avellino,Novara,2-1,1-0
2013-08-24,Brescia,Virtus Lanciano,2-2,1-1
2013-08-24,Empoli,Latina,3-1,3-0
2013-08-24,Modena,Palermo,1-1,0-1
2013-08-24,Padova,Trapani,0-2,0-0
2013-08-24,Pescara,Juve Stabia,3-0,2-0
2013-08-24,Siena,Crotone,5-2,3-0
2013-08-24,Spezia,Cittadella,0-0,0-0
2013-08-24,Ternana,Carpi,1-0,1-0
2013-08-26,Cesena,Varese,1-0,0-0
2013-08-31,Bari,Brescia,0-0,0-0
2013-08-31,Cittadella,Ternana,2-2,0-0
2013-08-31,Crotone,Cesena,1-2,1-0
2013-08-31,Juve Stabia,Spezia,1-2,1-1
2013-08-31,Latina,Avellino,1-1,0-1
2013-08-31,Novara,Siena,2-1,0-0
2013-08-31,Palermo,Empoli,1-2,1-1
2013-08-31,Varese,Modena,1-1,0-0
2013-08-31,Virtus Lanciano,Reggina,1-1,1-0
2013-09-02,Trapani,Pescara,2-2,1-1
2013-09-07,Brescia,Novara,1-1,1-0
2013-09-07,Spezia,Carpi,0-2,0-1
2013-09-08,Avellino,Ternana,1-0,0-0
2013-09-08,Cesena,Virtus Lanciano,0-1,0-0
2013-09-08,Empoli,Trapani,1-1,1-0
2013-09-08,Latina,Varese,0-3,0-1
2013-09-08,Modena,Cittadella,2-0,1-0
2013-09-08,Padova,Palermo,0-3,0-2
2013-09-08,Pescara,Crotone,2-2,1-1
2013-09-08,Reggina,Juve Stabia,3-1,0-0
2013-09-08,Siena,Bari,3-2,3-1
2013-09-13,Palermo,Cesena,2-1,0-0
2013-09-14,Bari,Modena,1-0,0-0
2013-09-14,Carpi,Empoli,0-2,0-1
2013-09-14,Cittadella,Latina,0-0,0-0
2013-09-14,Crotone,Spezia,1-0,1-0
2013-09-14,Juve Stabia,Siena,2-2,2-1
2013-09-14,Novara,Padova,1-0,0-0
2013-09-14,Trapani,Reggina,4-0,2-0
2013-09-14,Varese,Pescara,3-2,1-1
2013-09-14,Virtus Lanciano,Avellino,1-0,1-0
2013-09-16,Ternana,Brescia,1-2,1-1
2013-09-20,Latina,Virtus Lanciano,0-0,0-0
2013-09-20,Spezia,Palermo,1-0,0-0
2013-09-21,Avellino,Varese,1-1,0-1
2013-09-21,Brescia,Crotone,1-2,0-2
2013-09-21,Cesena,Carpi,4-1,1-0
2013-09-21,Cittadella,Juve Stabia,0-2,0-1
2013-09-21,Empoli,Padova,3-1,0-1
2013-09-21,Modena,Trapani,3-1,2-0
2013-09-21,Pescara,Bari,0-1,0-1
2013-09-21,Reggina,Novara,1-1,0-1
2013-09-21,Siena,Ternana,1-1,0-1
2013-09-24,Bari,Palermo,2-1,1-0
2013-09-24,Carpi,Brescia,0-0,0-0
2013-09-24,Crotone,Modena,3-1,2-0
2013-09-24,Empoli,Siena,0-0,0-0
2013-09-24,Juve Stabia,Virtus Lanciano,0-1,0-1
2013-09-24,Novara,Cittadella,2-2,2-1
2013-09-24,Padova,Latina,0-0,0-0
2013-09-24,Pescara,Avellino,1-1,1-0
2013-09-24,Ternana,Spezia,1-2,0-1
2013-09-24,Trapani,Cesena,0-1,0-1
2013-09-24,Varese,Reggina,1-0,0-0
2013-09-28,Cittadella,Crotone,1-0,0-0
2013-09-28,Latina,Brescia,2-0,1-0
