Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 24 Aug 2013 (W34),UC Sampdoria (1),0-1,0-0,Juventus (1)
?,(Sat) 24 Aug 2013 (W34),Hellas Verona FC (1),2-1,1-1,AC Milan (1)
?,(Sun) 25 Aug 2013 (W34),Cagliari Calcio (1),2-1,1-1,Atalanta BC (1)
?,(Sun) 25 Aug 2013 (W34),FC Internazionale Milano (1),2-0,0-0,Genoa CFC (1)
?,(Sun) 25 Aug 2013 (W34),SS Lazio (1),2-1,2-0,Udinese Calcio (1)
?,(Sun) 25 Aug 2013 (W34),AS Livorno Calcio (1),0-2,0-0,AS Roma (1)
?,(Sun) 25 Aug 2013 (W34),SSC Napoli (1),3-0,2-0,Bologna FC (1)
?,(Sun) 25 Aug 2013 (W34),Parma (1),0-0,0-0,AC Chievo Verona (1)
?,(Sun) 25 Aug 2013 (W34),Torino FC (1),2-0,1-0,US Sassuolo Calcio (1)
?,(Mon) 26 Aug 2013 (W35),ACF Fiorentina (1),2-1,2-1,Calcio Catania (1)
?,(Sat) 31 Aug 2013 (W35),AC Chievo Verona (2),2-4,2-2,SSC Napoli (2)
?,(Sat) 31 Aug 2013 (W35),Juventus (2),4-1,2-1,SS Lazio (2)
?,(Sun) 1 Sep 2013 (W35),Atalanta BC (2),2-0,0-0,Torino FC (2)
?,(Sun) 1 Sep 2013 (W35),Bologna FC (2),2-2,1-1,UC Sampdoria (2)
?,(Sun) 1 Sep 2013 (W35),Calcio Catania (2),0-3,0-1,FC Internazionale Milano (2)
?,(Sun) 1 Sep 2013 (W35),Genoa CFC (2),2-5,0-3,ACF Fiorentina (2)
?,(Sun) 1 Sep 2013 (W35),AC Milan (2),3-1,2-1,Cagliari Calcio (2)
?,(Sun) 1 Sep 2013 (W35),AS Roma (2),3-0,0-0,Hellas Verona FC (2)
?,(Sun) 1 Sep 2013 (W35),US Sassuolo Calcio (2),1-4,0-1,AS Livorno Calcio (2)
