Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 23 Aug 2013 (33),Urbs Reggina (1),0-0,0-0,Bari (1)
?,(Sat) 24 Aug 2013 (33),Avellino (1),2-1,1-0,Novara (1)
?,(Sat) 24 Aug 2013 (33),Brescia (1),2-2,1-1,Virtus Lanciano (1)
?,(Sat) 24 Aug 2013 (33),Empoli (1),3-1,3-0,SSD Latina Calcio (1)
?,(Sat) 24 Aug 2013 (33),Modena FC (1),1-1,0-1,Palermo (1)
?,(Sat) 24 Aug 2013 (33),Calcio Padova (1),0-2,0-0,Trapani Calcio (1)
?,(Sat) 24 Aug 2013 (33),Pescara (1),3-0,2-0,SS Juve Stabia (1)
?,(Sat) 24 Aug 2013 (33),SS Robur Siena (1),5-2,3-0,FC Crotone (1)
?,(Sat) 24 Aug 2013 (33),Spezia (1),0-0,0-0,Cittadella (1)
?,(Sat) 24 Aug 2013 (33),Ternana (1),1-0,1-0,Carpi (1)
?,(Mon) 26 Aug 2013 (34),Cesena (1),1-0,0-0,Varese Calcio (1)
?,(Sat) 31 Aug 2013 (34),Bari (2),0-0,0-0,Brescia (2)
?,(Sat) 31 Aug 2013 (34),Cittadella (2),2-2,0-0,Ternana (2)
?,(Sat) 31 Aug 2013 (34),FC Crotone (2),1-2,1-0,Cesena (2)
?,(Sat) 31 Aug 2013 (34),SS Juve Stabia (2),1-2,1-1,Spezia (2)
?,(Sat) 31 Aug 2013 (34),SSD Latina Calcio (2),1-1,0-1,Avellino (2)
?,(Sat) 31 Aug 2013 (34),Novara (2),2-1,0-0,SS Robur Siena (2)
?,(Sat) 31 Aug 2013 (34),Palermo (2),1-2,1-1,Empoli (2)
?,(Sat) 31 Aug 2013 (34),Varese Calcio (2),1-1,0-0,Modena FC (2)
?,(Sat) 31 Aug 2013 (34),Virtus Lanciano (2),1-1,1-0,Urbs Reggina (2)
?,(Mon) 2 Sep 2013 (35),Trapani Calcio (2),2-2,1-1,Pescara (2)
?,(Sat) 7 Sep 2013 (35),Brescia (3),1-1,1-0,Novara (3)
?,(Sat) 7 Sep 2013 (35),Spezia (3),0-2,0-1,Carpi (2)
?,(Sun) 8 Sep 2013 (35),Avellino (3),1-0,0-0,Ternana (3)
?,(Sun) 8 Sep 2013 (35),Cesena (3),0-1,0-0,Virtus Lanciano (3)
?,(Sun) 8 Sep 2013 (35),Empoli (3),1-1,1-0,Trapani Calcio (3)
