Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 26 Aug 2005 (34),Hellas Verona FC (1),0-0,0-0,Avellino (1)
?,(Sat) 27 Aug 2005 (34),Bari (1),2-0,1-0,Ternana (1)
?,(Sat) 27 Aug 2005 (34),US Catanzaro (1),1-1,0-1,LR Vicenza Virtus (1)
?,(Mon) 29 Aug 2005 (35),US Triestina Calcio (1),0-0,0-0,Bologna FC (1)
?,(Fri) 2 Sep 2005 (35),Calcio Catania (1),2-1,1-0,Brescia (1)
?,(Sun) 4 Sep 2005 (35),Atalanta BC (1),3-2,2-1,Hellas Verona FC (2)
?,(Sun) 4 Sep 2005 (35),Avellino (2),0-1,0-0,US Triestina Calcio (2)
?,(Sun) 4 Sep 2005 (35),Cremonese (1),2-0,0-0,US Catanzaro (2)
?,(Sun) 4 Sep 2005 (35),FC Crotone (1),4-0,2-0,Piacenza Calcio (1)
?,(Sun) 4 Sep 2005 (35),Mantova SSD (1),1-0,1-0,SS Arezzo (1)
?,(Sun) 4 Sep 2005 (35),Rimini FC SSD (1),1-1,0-0,Modena FC (1)
?,(Sun) 4 Sep 2005 (35),Ternana (2),1-0,0-0,Unione Calcio Albinoleffe (1)
?,(Sun) 4 Sep 2005 (35),LR Vicenza Virtus (2),1-0,1-0,Cesena (1)
?,(Mon) 5 Sep 2005 (36),Bologna FC (2),2-1,1-0,Pescara (1)
?,(Wed) 7 Sep 2005 (36),SS Arezzo (2),2-0,0-0,FC Crotone (2)
?,(Wed) 7 Sep 2005 (36),Cesena (2),0-2,0-1,Atalanta BC (2)
?,(Fri) 9 Sep 2005 (36),Avellino (3),2-5,1-3,Brescia (2)
?,(Sat) 10 Sep 2005 (36),Atalanta BC (3),1-0,0-0,US Triestina Calcio (3)
?,(Sat) 10 Sep 2005 (36),Bologna FC (3),1-2,0-1,Modena FC (2)
?,(Sat) 10 Sep 2005 (36),Calcio Catania (2),0-0,0-0,SS Arezzo (3)
?,(Sat) 10 Sep 2005 (36),Cremonese (2),0-2,0-1,Hellas Verona FC (3)
